Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính,Số phòng ngủ,Số phòng tắm,Số tầng,Diện tích đất công nhận,Diện tích sử dụng,Đường trước nhà,Nội thất,Giấy tờ pháp lý
61FW8Y,"263/49 Liên Khu 4-5, khu phố 5, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",8500000.0,60.24,Nhà hẻm,4.25m,29.9m,Tây,3.0,2.0,2.0,126.81m²,180.85m²,6m,Cơ bản,Sổ riêng
RT3D3J,"1 Hẻm 2, TP.Thủ Đức, TP.HCM",13500000.0,68.42,Nhà hẻm,,,Tây Bắc,,,,,197.30m²,,,
3DWZCQ,"24 Đường 138, P.Tân Phú, TP.Thủ Đức, TP.HCM",4900000.0,61.25,Nhà hẻm,,,Tây,,,,,80m²,,,
YFZJ1D,"44/4A Số 16, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",9400000.0,65.91,Nhà hẻm,,,Đông Bắc,,,,,142.60m²,,,
KJNQGC,"8 Nguyễn Xiển, P.Long Bình, TP.Thủ Đức, TP.HCM",4500000.0,48.59,Nhà hẻm,,,Tây Nam,,,,,92.60m²,,,
5KRQZ7,"Nguyễn Đình Chiểu, P.4, Q.3, TP.HCM",9180000.0,342.53,Nhà hẻm,3.08m,10.04m,Tây Nam,4.0,4.0,4.0,26.80m²,91.70m²,4m,,
DCTDMH,"08 Diệp Minh Tuyền, P.Phước Long B, TP.Thủ Đức, TP.HCM",35000000.0,116.66,Nhà hẻm,15m,20m,Tây Bắc,9.0,9.0,4.0,300m²,598.90m²,12m,Cơ bản,
379NUQ,"61/2 Nguyễn Xiển, Trường Thạnh, Q.9, TP.HCM",6800000.0,34.0,Nhà hẻm,15.1m,14.07m,Đông Bắc,1.0,1.0,1.0,200m²,62.30m²,,,
K4RUMC,"70/28 Hà Thị Đát, P.Tân Quý, Q.Tân Phú, TP.HCM",18500000.0,154.16,Nhà hẻm,6m,20m,Đông Nam,22.0,22.0,5.0,120m²,481.60m²,6.85m,,
13ARE6,"160/35/14 Đường Nguyễn Văn Quỳ, P.Phú Thuận, Q.7, TP.HCM",7500000.0,134.31,Nhà hẻm,4m,13.96m,Bắc,4.0,2.0,3.0,55.84m²,,1.5m,,Sổ riêng
8DSX43,"107/15A Lò Siêu, P.16, Q.11, TP.HCM",5510000.0,142.6,Nhà hẻm,,,Tây Bắc,,,,,38.70m²,,,
KJXR5C,"501/15H Trần Xuân Soạn, P.Tân Hưng, Q.7, TP.HCM",6740000.0,85.69,Nhà hẻm,,,Bắc,,,,,78.65m²,,,
3DRD2Q,"10 Chu Văn An, P.12, Q.Bình Thạnh, TP.HCM",4750000.0,105.75,Nhà hẻm,,,Nam,,,,,45m²,,,
RNMRFJ,"102 Tô Ký, P.Đông Hưng Thuận, Q.12, TP.HCM",27000000.0,258.62,Nhà hẻm,5.2m,32.41m,Tây Nam,1.0,1.0,3.0,104.40m²,,,,
5BPGB7,"49/2/8A Hoài Thanh, P.14, Q.8, TP.HCM",5110000.0,37.59,Nhà hẻm,,,Nam,,,,,136.20m²,,,
SC0035,"41/1/5 Đội Cung, P.11, Q.11, TP.HCM",4600000.0,140.67,Nhà hẻm,,,Đông,,,,,32.70m²,,,
6A44V8,"41/1/1 Đội Cung, P.11, Q.11, TP.HCM",4400000.0,144.26,Nhà hẻm,,,Đông,,,,,30.50m²,,,
8YWFP3,"112A Hoàng Diệu, P.13, Q.4, TP.HCM",8600000.0,176.95,Nhà hẻm,,,Tây Bắc,,,,,48.60m²,,,
3DWWSQ,"506/49/11B Lạc Long Quân, P.14, Q.11, TP.HCM",5380000.0,97.54,Nhà hẻm,,,Đông,,,,,55.20m²,,,Sổ riêng
6AF708,"24C Tam Châu, P.An Phú Đông, Q.12, TP.HCM",9930000.0,20.75,Nhà hẻm,,,Đông Nam,,,,,478.70m²,,,Sổ riêng
6A4W68,"523/48 Tổ 55 Kp5, P.Hiệp Thành, Q.12, TP.HCM",9400000.0,49.36,Nhà hẻm,,,Nam,,,,,190.40m²,,,
SC0PU5,"18A21 Tân Hòa Đông, P.Phú Lâm, Q.6, TP.HCM",6600000.0,79.51,Nhà hẻm,,,Đông,,,,,83m²,,,
RTQQTJ,"27/40/34 Huỳnh Tịnh Của, P.8, Q.3, TP.HCM",6500000.0,107.79,Nhà hẻm,,,Đông Bắc,,,,,60.30m²,,,
85FPX3,"Hoài Thanh, P.14, Q.8, TP.HCM",3000000.0,0.0,Nhà hẻm,3.37m,7.81m,Tây Nam,2.0,2.0,2.0,26.60m²,,,,
EP1V84,"218/228/6 Tổ 49 KP4, P.Trung Mỹ Tây, Q.12, TP.HCM",6400000.0,50.27,Nhà hẻm,,,Tây,,,,,127.30m²,,,
W0NE0R,"165/36A Nguyễn Văn Luông, P.10, Q.6, TP.HCM",12800000.0,197.56,Nhà hẻm,4m,17.03m,Tây Nam,2.0,3.0,3.0,68.70m²,136.20m²,7m,,
5DEK57,"220/30 Thới An 32, P.Thới An, Q.12, TP.HCM",4950000.0,97.63,Nhà hẻm,4.3m,11.74m,Bắc,3.0,2.0,2.0,50.70m²,94.40m²,3m,,
DERR4H,"141/9 Bàn Cờ, P.3, Q.3, TP.HCM",25000000.0,279.64,Nhà hẻm,5.22m,18.33m,Tây,4.0,4.0,4.0,89.40m²,264.10m²,,,
6S72C8,"465/6 Hòa Hảo, P.8, Q.10, TP.HCM",5950000.0,280.66,Nhà hẻm,3m,8.18m,Đông,4.0,3.0,4.0,21.20m²,78.60m²,,,
UY223S,"322/7 Vĩnh Viễn, P.4, Q.10, TP.HCM",3990000.0,114.0,Nhà hẻm,5.53m,11.34m,Đông Nam,2.0,1.0,2.0,35m²,70m²,,,
377S6Q,"51/26/12 Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",13000000.0,83.65,Nhà hẻm,8m,19.55m,Tây Nam,2.0,3.0,3.0,155.40m²,291m²,5m,,
UYKXRS,"127/99/19 Âu cơ, P.14, Q.11, TP.HCM",5950000.0,179.21,Nhà hẻm,3.1m,11.8m,Tây Bắc,4.0,3.0,3.0,33.20m²,99.60m²,,,
1UK786,"49/3 Khánh Hội, P.3, Q.4, TP.HCM",6950000.0,192.52,Nhà hẻm,4.16m,8.73m,Tây Bắc,5.0,3.0,4.0,36.10m²,116.50m²,2.55m,,
40RSHF,"112/9/8 An Bình, P.5, Q.5, TP.HCM",6180000.0,249.19,Nhà hẻm,3.5m,8m,Tây Nam,3.0,3.0,4.0,24.80m²,75.80m²,3.5m,,
G17S72,"38 Đường 38, P.Hiệp Bình Chánh, TP.Thủ Đức, TP.HCM",7310000.0,41.16,Nhà hẻm,,,Đông Nam,,,,,177.80m²,,,Sổ riêng
3SDJ5Q,"428/6/13-15 An Dương Vương, P.16, Q.8, TP.HCM",13000000.0,180.3,Nhà hẻm,3.99m,19.29m,Bắc,12.0,12.0,1.0,72.10m²,72.10m²,10m,Cơ bản,
7KR6KA,"254/40 Thái Phiên, P.8, Q.11, TP.HCM",11000000.0,167.42,Nhà hẻm,3.6m,18.35m,Đông Bắc,10.0,6.0,6.0,65.70m²,303.10m²,6m,,
GNAPJ2,"59/35b đường 12, Trường Thạnh, Q.9, TP.HCM",1500000.0,29.94,Nhà hẻm,4.1m,12.4m,Tây Nam,2.0,2.0,2.0,50.10m²,100m²,3m,,
UABYXS,"227/5/15 Gò Dầu, P.Tân Quý, Q.Tân Phú, TP.HCM",11000000.0,114.94,Nhà hẻm,4.8m,19.2m,Nam,5.0,4.0,4.0,95.70m²,274.44m²,4m,,
SDBZY5,"600/2/3Q Hồng Bàng, P.16, Q.11, TP.HCM",6900000.0,158.98,Nhà hẻm,3.4m,10.4m,Nam,4.0,4.0,4.0,43.40m²,137.50m²,3m,,
PXTNAG,"867/21 Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",4700000.0,79.12,Nhà hẻm,4.19m,14.19m,Đông Nam,2.0,2.0,2.0,59.40m²,101.40m²,2m,,
AC0CDY,"43/29 Tú Mỡ, P.7, Q.Gò Vấp, TP.HCM",8980000.0,162.68,Nhà hẻm,4.25m,13m,Đông Bắc,3.0,3.0,4.0,55.20m²,147.60m²,4m,Đầy đủ,
5HF6G7,"188/22 Cao Đạt, P.1, Q.5, TP.HCM",9500000.0,197.91,Nhà hẻm,4m,12m,Tây Nam,2.0,1.0,2.0,48m²,,,,
9TV1YP,"343/20 Vĩnh Viễn, P.8, Q.10, TP.HCM",7800000.0,323.65,Nhà hẻm,3.05m,7.9m,Đông Bắc,1.0,1.0,4.0,24.10m²,64.70m²,4m,,
UYDDFS,"MPN 109/9B Thạnh Xuân 22, P.Thạnh Xuân, Q.12, TP.HCM",4000000.0,78.89,Nhà hẻm,4m,12.76m,Tây Bắc,1.0,1.0,1.0,50.70m²,,,,
QHJRNU,"13/25 Nguyễn Văn Săng, P.Tân Sơn, Q.Tân Phú, TP.HCM",7500000.0,160.25,Nhà hẻm,,,Nam,,,,,46.80m²,,,
7KY4SA,"6/23F Chánh Hưng, P.Hưng Phú, Q.8, TP.HCM",3480000.0,124.73,Nhà hẻm,3.34m,8.69m,Bắc,2.0,1.0,2.0,27.90m²,,,,
8S6PD3,"75/44/17 D9, P.Tây Thạnh, Q.Tân Phú, TP.HCM",2650000.0,126.19,Nhà hẻm,4.6m,4.2m,Đông Bắc,2.0,2.0,2.0,15.20m²,,2.75m,,
6AFA98,"87/117/36/21 Nguyễn Sỹ Sách, P.15, Q.Tân Bình, TP.HCM",17100000.0,94.53,Nhà hẻm,,,Đông,,,,,180.89m²,,,
UYEYHS,"Trần Quang Khải, P.Tân Định, Q.1, TP.HCM",22000000.0,321.63,Nhà hẻm,3.96m,19m,Bắc,4.0,3.0,4.0,68.40m²,200.80m²,8m,Đầy đủ,
5HK3V7,"958/31 Hậu Giang, P.12, Q.6, TP.HCM",5350000.0,108.51,Nhà hẻm,3.33m,13.1m,Bắc,2.0,2.0,2.0,49.30m²,92m²,,,
37UVXQ,"751/2 Ba Đình, P.Hưng Phú, Q.8, TP.HCM",4780000.0,133.51,Nhà hẻm,7.1m,5.15m,Đông,2.0,2.0,2.0,35.80m²,73.70m²,2m,,
87UPA3,"59/160/51/3 đường 102, Tăng Nhơn Phú A, Q.9, TP.HCM",5850000.0,105.21,Nhà hẻm,4.03m,14.29m,Tây Bắc,2.0,2.0,2.0,55.60m²,91.60m²,5m,,
SDCQ95,"550/25/8 Hồng Bàng, P.16, Q.11, TP.HCM",1460000.0,153.68,Nhà hẻm,2m,7.15m,Bắc,2.0,1.0,2.0,9.50m²,16.20m²,,,
375VPQ,"62/115 Lý Chính Thắng, P.8, Q.3, TP.HCM",4950000.0,177.1,Nhà hẻm,3.1m,10.42m,Tây Nam,2.0,3.0,2.0,27.95m²,19.10m²,3.7m,,
375JKQ,"48F/13E Hoàng Sĩ Khải, P.14, Q.8, TP.HCM",2980000.0,79.25,Nhà hẻm,4.36m,8.84m,Tây Bắc,2.0,2.0,2.0,37.60m²,37.60m²,2.17m,,
2MXDTZ,"363/21/31 Đất Mới, P.Bình Trị Đông A, Q.Bình Tân, TP.HCM",4000000.0,93.67,Nhà hẻm,4.48m,10m,Tây Nam,3.0,1.0,2.0,42.70m²,85.40m²,,,
ACGM9Y,"Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",7500000.0,118.85,Nhà hẻm,4.37m,14.48m,Nam,11.0,11.0,6.0,63.10m²,222.50m²,4.25m,,
9TMEZP,"129/9C/19 Mễ Cốc, P.15, Q.8, TP.HCM",4850000.0,133.6,Nhà hẻm,3.01m,11.63m,Đông Bắc,4.0,4.0,4.0,36.30m²,113.70m²,6m,,
ACKFPY,"268/2/14 Tô Ngọc Vân, P.Thới An, Q.12, TP.HCM",5950000.0,81.61,Nhà hẻm,4m,18.23m,Tây Bắc,4.0,5.0,3.0,72.90m²,172.60m²,,,
5D5687,"88 Chợ Lớn, P.11, Q.6, TP.HCM",18500000.0,231.25,Nhà hẻm,4m,17m,Đông Nam,3.0,3.0,2.0,80m²,173.60m²,,,
13DN96,"266/40/32 Tôn Đản, P.08, Q.4, TP.HCM",5290000.0,93.62,Nhà hẻm,4.54m,10.7m,Tây Bắc,3.0,2.0,2.0,56.50m²,,2.43m,,
7K9MKA,"39/11 Lưu Trọng Lư, P.Tân Thuận Đông, Q.7, TP.HCM",3990000.0,177.33,Nhà hẻm,5.82m,5.28m,Bắc,2.0,2.0,2.0,22.50m²,40.30m²,,,Sổ riêng
DERJFH,"543/14A Nguyễn Đình Chiểu, P.2, Q.3, TP.HCM",14000000.0,434.78,Nhà hẻm,2.91m,10.14m,Đông Bắc,4.0,4.0,5.0,32.20m²,139.60m²,,,
ACB5AY,"129/4B Hiệp Thành 45, P.Hiệp Thành, Q.12, TP.HCM",2990000.0,91.43,Nhà hẻm,4.03m,8.1m,Đông Bắc,2.0,2.0,2.0,32.80m²,50.80m²,3m,,
ACKHFY,"76/3A Nguyên Hồng, P.11, Q.Bình Thạnh, TP.HCM",13000000.0,164.14,Nhà hẻm,6.94m,14.47m,Bắc,6.0,4.0,5.0,79.20m²,211.70m²,,,
85Q1R3,"117H/37 Nguyễn Duy, P.14, Q.8, TP.HCM",3580000.0,152.34,Nhà hẻm,2.44m,9.63m,Nam,4.0,2.0,4.0,23.50m²,53.90m²,,,
KFF9WC,"167/23 Thới An 13, P.Thới An, Q.12, TP.HCM",8390000.0,126.92,Nhà hẻm,4m,20.8m,Tây Nam,6.0,7.0,5.0,66.10m²,281.50m²,,,
6SS7M8,"174/8 Nguyễn Thiện Thuật, P.3, Q.3, TP.HCM",9000000.0,379.74,Nhà hẻm,4.04m,11.05m,Bắc,2.0,2.0,3.0,23.70m²,55.70m²,5m,,
0ZPHP9,"MPN 409/108/32/51 Huỳnh Thị Hai, P.Tân Chánh Hiệp, Q.12, TP.HCM",4000000.0,78.43,Nhà hẻm,4.03m,13.02m,Đông Bắc,2.0,2.0,2.0,51m²,102.20m²,,,
SD7TR5,"202/6/11 Lý thường Kiệt, P.14, Q.10, TP.HCM",3000000.0,206.89,Nhà hẻm,2.09m,7.19m,Đông Nam,2.0,3.0,2.0,14.50m²,29m²,2.14m,,
GN9UJ2,"84/60 Hòa Hưng, P.13, Q.10, TP.HCM",7500000.0,174.82,Nhà hẻm,3.35m,13m,Tây Nam,2.0,2.0,3.0,42.90m²,94.50m²,5m,,
DBV14H,"231/67/11 Bình Tiên, P.8, Q.6, TP.HCM",4500000.0,109.75,Nhà hẻm,3.59m,8.44m,Nam,3.0,2.0,2.0,40.90m²,77m²,2.79m,,
42XPPF,"Thống Nhất, P.16, Q.Gò Vấp, TP.HCM",20000000.0,137.93,Nhà hẻm,5m,29.15m,Đông Bắc,5.0,5.0,4.0,145m²,256.20m²,8m,,
1USNX6,"72/2/6 Thới An 10, P.Thới An, Q.12, TP.HCM",2850000.0,96.93,Nhà hẻm,4m,8.42m,Đông,3.0,1.0,2.0,29.40m²,47.40m²,,,
SDKYX5,"258/7/22/2/3 Bông Sao, P.5, Q.8, TP.HCM",4980000.0,192.27,Nhà hẻm,3.85m,6.75m,Đông Bắc,3.0,4.0,4.0,25.90m²,,3.5m,,
UAQZ5S,"111K1/10D Bình Đông, P.14, Q.8, TP.HCM",2300000.0,141.97,Nhà hẻm,2.45m,6.3m,Tây Nam,2.0,1.0,2.0,16.20m²,32.40m²,,,
6SHWD8,"Thạnh Lộc 15, P.Thạnh Lộc, Q.12, TP.HCM",2750000.0,87.02,Nhà hẻm,4m,10m,Tây Bắc,2.0,1.0,2.0,31.60m²,,2m,,
UYD8AS,"345/26 Hậu Giang, P.2, Q.6, TP.HCM",3350000.0,125.0,Nhà hẻm,3.22m,8.12m,Đông,2.0,1.0,2.0,26.80m²,35.80m²,2.61m,,
WP87YR,"1422/24/13A Huỳnh Tấn Phát, P.Phú Mỹ, Q.7, TP.HCM",5000000.0,58.58,Nhà hẻm,4.9m,17.5m,Đông,2.0,1.0,1.0,85.35m²,62.53m²,,,Sổ riêng
J26EB0,"229/55/6 Tây Thạnh, P.Tây Thạnh, Q.Tân Phú, TP.HCM",4950000.0,118.99,Nhà hẻm,3.2m,13m,Tây Bắc,2.0,2.0,2.0,41.60m²,74.40m²,3.15m,,
EPDSM4,"185/65 Bà Hom, P.13, Q.6, TP.HCM",4200000.0,108.8,Nhà hẻm,5.55m,7.27m,Tây Bắc,1.0,1.0,2.0,38.60m²,65.80m²,4.07m,,
PN1UHG,"243/4 Tô Hiến Thành, P.13, Q.10, TP.HCM",29000000.0,304.62,Nhà hẻm,4.7m,21.13m,Đông Bắc,8.0,4.0,4.0,95.20m²,338.90m²,,,
7KECXA,"436A/6 đường 3/2, P.10, Q.10, TP.HCM",42000000.0,392.15,Nhà hẻm,7.15m,15.79m,Tây Nam,4.0,4.0,5.0,107.10m²,445.90m²,,,
37UNZQ,"122/5/14/2B Tôn Đản, P.8, Q.4, TP.HCM",3150000.0,110.91,Nhà hẻm,3.62m,7.8m,Tây Bắc,1.0,1.0,2.0,28.40m²,,,,
5B3M57,"82 Đông Tác, Dĩ An, Dĩ An, TP.HCM",6900000.0,95.83,Nhà hẻm,4m,18m,,4.0,4.0,3.0,72m²,220m²,,,
37APFQ,"111/2 Vườn Lài, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",19000000.0,120.78,Nhà hẻm,11.3m,19.1m,Bắc,17.0,17.0,6.0,157.30m²,393.60m²,,,
2XGR7Z,"157/2 Trần Văn Đang, P.11, Q.3, TP.HCM",18000000.0,150.0,Nhà hẻm,6m,11.7m,Tây Bắc,8.0,4.0,3.0,120m²,221.30m²,3m,,
85RYC3,"105/12/16B đường TTN08, P.Tân Thới Nhất, Q.12, TP.HCM",4900000.0,57.51,Nhà hẻm,8.03m,11.16m,Tây Bắc,6.0,6.0,2.0,85.20m²,127.80m²,,,
SD7HQ5,"125/31 Tám Danh, P.4, Q.8, TP.HCM",6280000.0,87.83,Nhà hẻm,3.04m,24.71m,Tây Nam,3.0,2.0,2.0,71.50m²,61.90m²,3.9m,,
5EWQM7,"35/12E Trung đông 7, Xã Thới Tam Thôn, H.Hóc Môn, TP.HCM",2700000.0,56.48,Nhà hẻm,4m,13.82m,Tây Bắc,2.0,1.0,2.0,47.80m²,43.90m²,,,
SYP0T5,"167/12A Gò Xoài, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",6250000.0,97.96,Nhà hẻm,4m,17.4m,Tây Nam,2.0,2.0,2.0,63.80m²,107.10m²,5m,,
QAHHZU,"Một phần nhà số 80/19 TX 52, P.Thạnh Xuân, Q.12, TP.HCM",4000000.0,75.04,Nhà hẻm,4.01m,11.21m,Tây Bắc,2.0,1.0,1.0,53.30m²,45.60m²,,,
K4K44C,"102/2 HT35, P.Hiệp Thành, Q.12, TP.HCM",4450000.0,104.21,Nhà hẻm,7.1m,6.1m,Tây Bắc,3.0,4.0,3.0,42.70m²,,2.6m,,
5H89X7,"43/5 đường số 120, Tân Phú, Q.9, TP.HCM",10000000.0,53.96,Nhà hẻm,10.02m,19.22m,Đông Nam,2.0,1.0,1.0,185.30m²,91m²,,,
6U6ZN8,"29/1C Lê Lợi, P.1, Q.Gò Vấp, TP.HCM",13000000.0,111.3,Nhà hẻm,3.08m,27.85m,Tây Nam,6.0,4.0,4.0,116.80m²,,3.75m,,
6S56M8,"47/3 Nguyễn Du, P.7, Q.Gò Vấp, TP.HCM",2980000.0,130.7,Nhà hẻm,4.35m,5.23m,Tây Bắc,2.0,1.0,2.0,22.80m²,45.50m²,3.5m,,
W9N8AR,"88/48A Vũ Tùng, P.2, Q.Bình Thạnh, TP.HCM",1900000.0,190.0,Nhà hẻm,2.45m,4.47m,Tây Bắc,2.0,1.0,2.0,10m²,20m²,3m,,
EJMXV4,"45/34 TL 04, P.An Phú Đông, Q.12, TP.HCM",3830000.0,59.47,Nhà hẻm,3.88m,17.58m,Đông Nam,2.0,1.0,1.0,64.40m²,62.90m²,,,
DE2GEH,"417/95/87 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",4950000.0,155.17,Nhà hẻm,4m,9.13m,Tây Bắc,2.0,2.0,2.0,31.90m²,59.80m²,,,
40MRBF,"45/13 Phạm Hùng, P.Hưng Phú, Q.8, TP.HCM",7200000.0,174.75,Nhà hẻm,4.1m,10.49m,Nam,3.0,3.0,3.0,41.20m²,109.20m²,,,
1QMB96,"40/30/5/10 Thạnh Lộc 44, P.Thạnh Lộc, Q.12, TP.HCM",6000000.0,100.84,Nhà hẻm,4m,15m,Đông Bắc,6.0,5.0,5.0,59.50m²,254.10m²,,Đầy đủ,
SD7CS5,"312/46A Âu Dương Lân, P.Rạch Ông, Q.8, TP.HCM",3980000.0,170.81,Nhà hẻm,3.99m,5.8m,Đông Nam,1.0,1.0,1.0,23.30m²,23.30m²,2m,,
KFESQC,"185H4 Mai Xuân Thưởng, P.2, Q.6, TP.HCM",9500000.0,138.68,Nhà hẻm,3.26m,23.21m,Đông,3.0,1.0,1.0,68.50m²,91.30m²,2.5m,Đầy đủ,
5HRQT7,"265/50/2/7 Trường Chinh, P.Tân Thới Nhất, Q.12, TP.HCM",9200000.0,144.2,Nhà hẻm,4m,15.96m,Đông,4.0,5.0,5.0,63.80m²,249m²,,,
SDBEV5,"68/32/23 Thới An 20, P.Thới An, Q.12, TP.HCM",3890000.0,97.0,Nhà hẻm,4.03m,10.05m,Đông Nam,2.0,2.0,2.0,40.10m²,80.20m²,5m,,
7HEMKA,"1122/8/6 Quang Trung, P.8, Q.Gò Vấp, TP.HCM",9000000.0,176.47,Nhà hẻm,4.1m,12.44m,Đông Bắc,4.0,5.0,5.0,51m²,180.80m²,4m,,
9V3BGP,"52/6 Hoàng Diệu 2, P.Linh Chiểu, TP.Thủ Đức, TP.HCM",4430000.0,51.97,Nhà hẻm,,,Đông Nam,,,,,85.39m²,,,
AKNPKY,"6/4 đường số 44, P.14, Q.Gò Vấp, TP.HCM",7000000.0,112.35,Nhà hẻm,4m,15.7m,Tây Bắc,3.0,4.0,3.0,62.30m²,128.30m²,4.15m,,
7H2F9A,"79/1 Tây Sơn, P.Tân Quý, Q.Tân Phú, TP.HCM",2250000.0,142.4,Nhà hẻm,3.1m,5.1m,Bắc,1.0,1.0,2.0,15.80m²,34.10m²,1.5m,,
7KE10A,"453/67/31 Lê Văn Khương, P.Tân Thới Hiệp, Q.12, TP.HCM",5990000.0,61.12,Nhà hẻm,4.26m,24.83m,Tây,4.0,3.0,2.0,98m²,,,,
PZY73G,"20/5 đường 176, Phước Long A, Q.9, TP.HCM",4150000.0000000005,118.23,Nhà hẻm,3.32m,14.18m,Đông Nam,2.0,2.0,2.0,35.10m²,59.10m²,3m,,
RC9MJQ,"54/37 Đình Nghi Xuân, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",6900000.0,92.75,Nhà hẻm,4.3m,17.3m,Bắc,2.0,3.0,3.0,74.39m²,135.30m²,3m,,
EJRBT4,"282/5A Cống Quỳnh, P.Phạm Ngũ Lão, Q.1, TP.HCM",2200000.0,122.22,Nhà hẻm,7.98m,2.05m,Tây Bắc,2.0,2.0,2.0,18m²,36m²,,Cơ bản,
AK0D5Y,"88/1 Vũ Tùng, P.2, Q.Bình Thạnh, TP.HCM",4950000.0,255.15,Nhà hẻm,3.6m,6m,Tây Nam,4.0,3.0,3.0,19.40m²,19.40m²,2m,,
R2EYRJ,"44/16 đường số 4, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",4980000.0,128.68,Nhà hẻm,4.01m,11.04m,Bắc,2.0,3.0,2.0,38.70m²,77.40m²,3.49m,Đầy đủ,
UDB9HS,"383/3/40A Quang Trung, P.10, Q.Gò Vấp, TP.HCM",6500000.0,103.17,Nhà hẻm,5.25m,12.1m,Tây Nam,2.0,2.0,2.0,63m²,110.40m²,3m,,
UAH19S,"86B4 Võ Thị Sáu, P.Tân Định, Q.1, TP.HCM",28000000.0,248.22,Nhà hẻm,6.4m,18m,Đông Bắc,5.0,6.0,4.0,112.80m²,325.80m²,3m,,
JPWD90,"4/9 Văn Chung, P.13, Q.Tân Bình, TP.HCM",37500000.0,2.8,Nhà hẻm,7m,20m,Đông,3.0,2.0,2.0,140.70m²,175.80m²,6m,,
ACCDEY,"38/6/10 Đình Quới An, P.Thới An, Q.12, TP.HCM",6500000.0,108.51,Nhà hẻm,4m,15m,Đông Bắc,4.0,5.0,5.0,59.90m²,204.09m²,6m,,
J2Z7C0,"1396/10 Quang Trung, P.14, Q.Gò Vấp, TP.HCM",9950000.0,155.46,Nhà hẻm,4m,16m,Tây Bắc,2.0,2.0,2.0,64m²,116.80m²,16m,,
ERZ1U4,"23/15 đường số 1, P.Bình Thuận, Q.7, TP.HCM",42000000.0,139.44,Nhà hẻm,11.25m,24.13m,Nam,8.0,8.0,2.0,301.20m²,241.30m²,16m,,Sổ riêng
2XVPUZ,"125/17/18 Vạn Kiếp, P.1, Q.Bình Thạnh, TP.HCM",4990000.0,185.5,Nhà hẻm,7.72m,3.94m,Tây,2.0,3.0,3.0,26.90m²,53.80m²,2m,,
PNFH6G,"Lạc Long Quân, P.3, Q.11, TP.HCM",3980000.0,228.73,Nhà hẻm,5.94m,4.26m,Đông,2.0,2.0,3.0,17.40m²,,1.5m,,
GX8KF2,"18/14/16 Thạnh Lộc 38, P.Thạnh Lộc, Q.12, TP.HCM",3250000.0,69.74,Nhà hẻm,4m,11.71m,Đông Nam,2.0,2.0,2.0,46.60m²,,2m,,
8SAZS3,"157A1/3 Dương Bá Trạc, P.Rạch Ông, Q.8, TP.HCM",4500000.0,116.58,Nhà hẻm,4.2m,8.2m,Nam,2.0,1.0,2.0,38.60m²,70.50m²,2m,,
CWURTB,"861/3 Trần Xuân Soạn, P.Tân Hưng, Q.7, TP.HCM",12000000.0,129.65,Nhà hẻm,7.9m,12.3m,Tây,1.0,1.0,1.0,92.55m²,140.84m²,,,
CW785B,"Hồng Bàng, P.16, Q.11, TP.HCM",4230000.0,119.49,Nhà hẻm,5.95m,8.35m,Đông,1.0,1.0,2.0,35.40m²,70.80m²,3.5m,,
85GR43,"MPN 77 Thạnh Lộc 49, P.An Phú Đông, Q.12, TP.HCM",4650000.0,85.47,Nhà hẻm,6.8m,8m,Đông Nam,2.0,2.0,2.0,54.40m²,,3m,,
5HBT07,"Nguyễn Văn Quỳ, P.Phú Thuận, Q.7, TP.HCM",4380000.0,133.53,Nhà hẻm,7.82m,4.2m,Đông Bắc,2.0,2.0,2.0,32.80m²,,3m,Đầy đủ,
6S5BH8,"51/50 Phạm Thế Hiển, P.Rạch Ông, Q.8, TP.HCM",5580000.0,97.55,Nhà hẻm,4.61m,13.54m,Tây Bắc,3.0,2.0,2.0,57.20m²,103.40m²,3m,,
5Y89X7,"55 đường số 17, P.4, Q.8, TP.HCM",4700000.0,148.5,Nhà hẻm,2.25m,13.81m,Tây Nam,2.0,1.0,2.0,33.50m²,,8m,,Sổ riêng
7K1N6A,"253/58 Trần Xuân Soạn, P.Tân Kiểng, Q.7, TP.HCM",4950000.0,71.32,Nhà hẻm,2.9m,25.15m,Nam,5.0,5.0,3.0,69.40m²,90.54m²,4m,,
QAEB2U,"1/3 Mạc Hiển Tích, Long Bình, Q.9, TP.HCM",3000000.0,37.26,Nhà hẻm,6.74m,9.9m,Nam,3.0,3.0,1.0,80.50m²,68.40m²,,,
7EGP6A,"36/4/37 Đường Huỳnh Văn Nghệ, P.15, Q.Tân Bình, TP.HCM",7300000.0,80.57,Nhà hẻm,,,Đông Bắc,,,,,90.60m²,,,
SK29X5,"Thành Thái, P.14, Q.10, TP.HCM",15900000.0,221.14,Nhà hẻm,3.06m,23.9m,Đông Nam,2.0,2.0,2.0,71.90m²,103.60m²,12m,,
