Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Địa chỉ chi tiết,Hướng ban công,Số phòng ngủ,Số phòng tắm,Diện tích tim tường,Diện tích sử dụng,Nội thất,Tên dự án / tòa nhà,Tình trạng sử dụng
CW024B,"Căn 15.01, Tầng 15, Chung cư Kết hợp thương mại, văn phòng khu V - Sunrise City, khu South Towers, 23 Nguyễn Hữu Thọ, P.Tân Hưng, Q.7, TP.HCM",14000000.0,83.33,Căn hộ chung cư,Khu V - Tầng 15 - Căn 15.01,,3.0,2.0,162.46m²,,Đầy đủ,Sunrise City,Đang ở
372YRQ,"Căn 3-7 Lô B Chung cư Lạc Long Quân, P.5, Q.11, TP.HCM",1950000.0,43.91,Căn hộ chung cư,Lô B - Căn 3-7,,1.0,1.0,44.40m²,,,Chung cư Lạc Long Quân,
7D92SA,"Căn 639B ( trệt + gác lững) Nguyễn Trãi, P.11, Q.5, TP.HCM",9500000.0,92.08,Căn hộ chung cư,639B,,3.0,2.0,103.17m²,,,Chung cư 639B Nguyễn Trãi,
0ZNB09,"Căn hộ 4.18, Lô A Chung cư Vườn Lài, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",1850000.0,43.42,Căn hộ chung cư,A-4-18,,2.0,2.0,42.60m²,,,Chung cư Vườn Lài,
7CEW3A,"Căn 5.07 - Tầng 5 Chung cư Hoàng Hoa Thám, P.13, Q.Tân Bình, TP.HCM",4650000.0,72.76,Căn hộ chung cư,Căn 5.07 - Tầng 5,,2.0,2.0,63.90m²,,,Chung cư Hoàng Hoa Thám,
RGGGGJ,"Căn hộ 8.06, Chung cư An Khánh đường Song Hành, P.An Phú, TP.Thủ Đức, TP.HCM",5250000.0,59.65,Căn hộ chung cư,8.06,,2.0,2.0,88m²,78.10m²,,Chung cư An Khánh,
7KME9A,"Căn A.2.07 Block A, Khối CT1 Chung cư 243 Tân Hòa Đông, P.14, Q.6, TP.HCM",3150000.0,51.63,Căn hộ chung cư,Khối CT1 - Block A - Căn A.2.07,,2.0,2.0,61m²,52.70m²,,Chung cư 243 Tân Hòa Đông,
SYSNR5,"Căn hộ 414 Tầng 5 Lô B1 Chung cư phường 3, Đường Vĩnh Hội, P.3, Q.4, TP.HCM",3850000.0,48.12,Căn hộ chung cư,Căn 414 - Tầng 5 - Lô B1,,2.0,1.0,80m²,,,Chung cư Phường 3,
8SCSB3,"Căn hộ D12-12A, Dream Home Palace, P.7, Q.8, TP.HCM",2500000.0,0.4,Căn hộ chung cư,Block D - Tầng 12A - Căn hộ 12,,2.0,2.0,61.75m²,,,Dream Home Palace,
GX4JD2,"Căn hộ P-65B, Tầng 7 Chung cư số 5 đường Cao Thắng, P.2, Q.3, TP.HCM",1670000.0,70.28,Căn hộ chung cư,,,1.0,1.0,23.76m²,,,Chung cư số 5 Cao Thắng,
