Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Địa chỉ chi tiết,Hướng ban công,Số phòng ngủ,Số phòng tắm,Diện tích tim tường,Diện tích sử dụng,Nội thất,Tên dự án / tòa nhà,Tình trạng sử dụng
PVEFHG,"Chung cư Victoria Village số 266 Trương Văn Bang, P.Cát Lái, TP.Thủ Đức, TP.HCM",6080000.0,88.11,Căn hộ chung cư,VTV4-03.06,,2.0,2.0,69m²,,Cơ bản,Victoria Village,
WPAXGR,"Căn hộ số 4.04- Lô B Chung cư CH2, đường số 10, Khu dân cư Cityland, P.10, Q.Gò Vấp, TP.HCM",7200000.0,72.28,Căn hộ chung cư,P3,Bắc,3.0,2.0,99.60m²,91.80m²,Đầy đủ,CityLand Park Hills,Đang cho thuê
DCXF3H,"Căn 1159 trệt và 112/32F Chung cư đường Trần Hưng Đạo, P.5, Q.5, TP.HCM",22000000.0,107.63,Căn hộ chung cư,1159 và 122/32F,,4.0,5.0,204.40m²,,,Chung cư 1149 đến 1169 đường Trần Hưng Đạo và từ số 112 đến 132 đường An Bình,
5Y92Y7,"Căn hộ số 018 (Tầng 1+ lửng) Bàu Cát 2, P.14, Q.Tân Bình, TP.HCM",7500000.0,115.83,Căn hộ chung cư,Tầng 1 + lửng,,2.0,1.0,64.75m²,,,chung cư Thanh Niên,
7DV7HA,"Căn 22.1 - Tháp E2  Chung cư Masteri Centre Point, P.Long Bình, TP.Thủ Đức, TP.HCM",6100000.0,81.98,Căn hộ chung cư,Căn hộ 22.1 - Tháp E2,,2.0,2.0,74.40m²,,,Chung cư Masteri Centre Point,
QT0FUQ,"Căn 207 Chung cư 292 Bến Chương Dương, 482 Võ Văn Kiệt, Cầu Kho, Q.1, TP.HCM",3700000.0,0.08,Căn hộ chung cư,"Căn 207, tầng 3",,1.0,1.0,42.82m²,,,Chung cư 292 Bến Chương Dương,
SY3GW5,"Căn hộ 3.19, Chung cư Nguyễn Ngọc Phương, số 66 Nguyễn Ngọc Phương, P.19, Q.Bình Thạnh, TP.HCM",8300000.000000001,87.64,Căn hộ chung cư,3.19,,3.0,2.0,94.70m²,,,Chung cư Nguyễn Ngọc Phương,
R9FYBJ,"Căn hộ 21.07, Tầng 21, Toà nhà GH3 - Khu B - 88 Phước Thiện, P.Long Bình, TP.Thủ Đức, TP.HCM",3450000.0,80.79,Căn hộ chung cư,"Căn hộ 21.07, Tầng 21, Toà nhà GH3",,1.0,1.0,42.70m²,,,Dự án Khu dân cư và công viên Phước Thiện,
QA1R8U,"Căn hộ số 11C23 Block C - tầng 11, Số 1122 Ngô Quyền, P.An Hải Nam, Q.Sơn Trà, TP. Đà Nẵng",3600000.0,53.57,Căn hộ chung cư,Căn hộ số 11C23 - tầng 11,,2.0,1.0,67.20m²,67.20m²,Đầy đủ,Chung cư cho người thu nhập thấp tại Khu dân cư An Trung 2,Đang ở
R2U2CJ,"Khu đô thị mới Văn Quán, P.Phúc La, Q.Hà Đông, TP. Hà Nội",5360000.0,67.42,Căn hộ chung cư,,,2.0,1.0,79.50m²,,,Khu đô thị mới Văn Quán,
49UT4F,"Lộc Ninh Singashine, Đường Quốc lộ 6, TT.Chúc Sơn, H.Chương Mỹ, TP. Hà Nội",2850000.0,53.47,Căn hộ chung cư,,,2.0,2.0,53.30m²,,,Lộc Ninh Singashine,
GXFRA2,"Căn hộ số K6-1109 Dự án Khai Sơn City, P.Thượng Thanh, Q.Long Biên, TP. Hà Nội",9200000.0,76.66,Căn hộ chung cư,K6-1109,Tây Bắc,3.0,3.0,120m²,120m²,Cơ bản,Khai Sơn City,Nhà trống
D4T7MH,"Ô đất B2-CT03, Tòa T26M-1 (S2.10), Dự án khu đô thị Gia Lâm, Xã Đa Tốn, H.Gia Lâm, TP. Hà Nội",3700000.0,59.29,Căn hộ chung cư,,,2.0,2.0,62.40m²,,,The Sapphire 2 - Vinhomes Ocean Park,
PM5DKG,"Căn thương mại Phương Đông Green Park, số 1 Trần Thủ Độ, P.Hoàng Liệt, Q.Hoàng Mai, TP. Hà Nội",6800000.0,85.75,Căn hộ chung cư,,,1.0,1.0,79.30m²,,,Chung cư Phương Đông Green Park,
UC5YYS,"A Bà Huyện Thanh Quan, P.Đông Hòa, TP.Dĩ An, Bình Dương",2500000.0,45.45,Căn hộ chung cư,A-10-8,,2.0,2.0,55m²,52m²,,Bcons City,
8YSR73,"12 bờ bao sông, P.Lái Thiêu, TP.Thuận An, Bình Dương",2300000.0,48.93,Căn hộ chung cư,B08-12,Đông Nam,1.0,1.0,47m²,42m²,Đầy đủ,The Emerald River Park,Nhà trống
3HCX9Q,"20 trần quang  diệu, P.Dĩ An, TP.Dĩ An, Bình Dương",1800000.0,36.73,Căn hộ chung cư,a2003,,1.0,1.0,49m²,46m²,Cơ bản,fenica,Nhà trống
G63RT2,"123 Quốc lộ 13, P.Thuận Giao, TP.Thuận An, Bình Dương",2400000.0,36.36,Căn hộ chung cư,a2007,,2.0,2.0,66m²,61m²,,Diamond Boulevard,
GXRTB2,"Căn hộ chung cư số B15 - Tầng 7 Nhà ở xã hội - 444 Ngô Quyền, P.Vĩnh Lạc, TP.Rạch Giá, Kiên Giang",400.0,8.77,Căn hộ chung cư,B15,Đông Nam,2.0,1.0,45.60m²,42.40m²,Cơ bản,Nhà ở xã hội - 444 Ngô Quyền,Đang cho thuê
EGXW24,"T1 An Đồng, P.An Đồng, Q.An Dương, TP. Hải Phòng",2290000.0,38.2,Căn hộ chung cư,05.12a,Tây Nam,2.0,1.0,60m²,64.21m²,Cơ bản,An Zen Residences,Nhà trống
P1UZ1G,"12A T1, P.An Đồng, Q.An Dương, TP. Hải Phòng",2290000.0,38.2,Căn hộ chung cư,05.12A,Tây Nam,2.0,1.0,60m²,64.21m²,Cơ bản,An Zen Residences,Nhà trống
G6ST12,"T1.05.12A An Đồng, P.An Đồng, Q.An Dương, TP. Hải Phòng",2290000.0,38.2,Căn hộ chung cư,T1.05.12A,Tây Nam,2.0,1.0,60m²,64.21m²,Cơ bản,An Zen Residences,Nhà trống
SB9FV5,"13 Bùi Viện, P.Đồng Hoà, Q.Kiến An, TP. Hải Phòng",4099999.9999999995,45.05,Căn hộ chung cư,13CHA7,Đông Bắc,3.0,2.0,91m²,87m²,Cơ bản,The Zenith,Nhà trống
WT3M3R,"12 Bùi Viện, P.Đồng Hoà, Q.Kiến An, TP. Hải Phòng",3500000.0,38.88,Căn hộ chung cư,12CHA,Tây Nam,3.0,2.0,90m²,87m²,Cơ bản,The Zenith,Nhà trống
74RVJA,"08 Bùi Viện, P.Đồng Hoà, Q.Kiến An, TP. Hải Phòng",3500000.0,38.88,Căn hộ chung cư,19,,3.0,2.0,90m²,86m²,Cơ bản,The Zenith,Nhà trống
QKBTVU,"03 Bùi Viện, P.Đồng Hoà, Q.Kiến An, TP. Hải Phòng",2500000.0,35.71,Căn hộ chung cư,03-CHA08,Đông Nam,2.0,2.0,70m²,66.20m²,Cơ bản,The Zenith,Nhà trống
3D3JRQ,"Căn hộ A06.03 Chung Cư Hoàng Anh Gia Lai Lake View Residence Hàm Nghi, P.Thạc Gián, Q.Thanh Khê, TP. Đà Nẵng",4050000.0,36.61,Căn hộ chung cư,Căn hộ A06.03 - Tầng 6,,3.0,2.0,110.60m²,,,Chung Cư Hoàng Anh Gia Lai Lake View Residence,
YER46D,"Quang Trung, P.Phú La, Q.Hà Đông, TP. Hà Nội",6000000.0,86.33,Căn hộ chung cư,,Tây Bắc,2.0,2.0,69.50m²,64.50m²,Cơ bản,The Vist,Nhà trống
8DR873,"hạnh hoa, P.Phúc La, Q.Hà Đông, TP. Hà Nội",4000000.0,50.31,Căn hộ chung cư,1703ct1b2 khu đô thị xala,,2.0,1.0,79.50m²,,Đầy đủ,Chung cư Xala BMM,Đang ở
8DFDJ3,"Như Nguyệt, P.Thuận Phước, Q.Hải Châu, TP. Đà Nẵng",6500000.0,81.25,Căn hộ chung cư,ABC1,,2.0,2.0,80m²,76.80m²,Đầy đủ,Wyndham Soleil Đà Nẵng,Nhà trống
5EKCE7,". 29/3, P.Hòa Xuân, Q.Cẩm Lệ, TP. Đà Nẵng",2200000.0,40.0,Căn hộ chung cư,A1-01-18,,2.0,1.0,55m²,49m²,,Sun Cora Tower,
P1ZJUG,"1 Minh Mạng, P.Hòa Xuân, Q.Cẩm Lệ, TP. Đà Nẵng",2800000.0,43.07,Căn hộ chung cư,F2-08-28,,2.0,1.0,65m²,61m²,,FourS Tower,
SC3CH5,"01 Võ Nguyên Giáp, P.An Hải Bắc, Q.Sơn Trà, TP. Đà Nẵng",3000000.0,50.0,Căn hộ chung cư,SLD26,Đông,1.0,1.0,60m²,52m²,Đầy đủ,Wyndham Soleil Đà Nẵng,Đang cho thuê
3D1YEQ,"Võ Nguyên Giáp, P.An Hải Bắc, Q.Sơn Trà, TP. Đà Nẵng",12000000.0,75.0,Căn hộ chung cư,SLD37,Đông,2.0,2.0,160m²,152m²,Đầy đủ,Wyndham Soleil Đà Nẵng,Đang cho thuê
WZB0CR,"Tố Hữu, P.Mễ Trì, Q.Nam Từ Liêm, TP. Hà Nội",6000000.0,78.94,Căn hộ chung cư,A1 -2010,Đông Bắc,2.0,2.0,76m²,75m²,Cơ bản,Ecolife Capitol,Đang ở
8AZR43,"xuân phương, Xã Sơn Đồng, H.Hoài Đức, TP. Hà Nội",5350000.0,73.48,Căn hộ chung cư,01,Tây Nam,2.0,2.0,72.80m²,66.67m²,Đầy đủ,An Lạc Green Symphony,Đang ở
R2E7FJ,"Căn hộ chung cư số 3614, Tháp CT-C, tầng 16, chung cư Intracom Riverside Võ Nguyên Giáp, Xã Vĩnh Ngọc, H.Đông Anh, TP. Hà Nội",4000000.0,73.66,Căn hộ chung cư,3614,,2.0,2.0,54.30m²,,Đầy đủ,Intracom Riverside,
C9V1FB,"Phòng 1703ct1b2 khu đô thị xala, P.Phúc La, Q.Hà Đông, TP. Hà Nội",4000000.0,50.31,Căn hộ chung cư,1703ct1b2,,2.0,1.0,79.50m²,,Đầy đủ,,
3HCGFQ,"46 Điện Biên Phủ, P.Chính Gián, Q.Thanh Khê, TP. Đà Nẵng",2600000.0,43.33,Căn hộ chung cư,11,Nam,1.0,1.0,60m²,49m²,Cơ bản,TTC Plaza Đà Nẵng,Nhà trống
WT0E8R,"18 Lê Đức Thọ, P.Mân Thái, Q.Sơn Trà, TP. Đà Nẵng",4500000.0,73.77,Căn hộ chung cư,1106,,2.0,2.0,61m²,58m²,Đầy đủ,hiyori,
6YQX28,"48 Điện Biên Phủ, P.Thạc Gián, Q.Thanh Khê, TP. Đà Nẵng",2500000.0,49.01,Căn hộ chung cư,A01-008-018-P1,,1.0,1.0,51m²,47m²,Cơ bản,TTC Plaza Đà Nẵng,
74YQ3A,"03 võ nguyên giáp, P.An Hải Bắc, Q.Sơn Trà, TP. Đà Nẵng",2800000.0,80.0,Căn hộ chung cư,SLD12,Đông,1.0,1.0,35m²,30m²,Đầy đủ,Wyndham Soleil Đà Nẵng,Nhà trống
3D3ZXQ,"46 Điện Biên Phủ, P.Thạc Gián, Q.Thanh Khê, TP. Đà Nẵng",2400000.0,47.05,Căn hộ chung cư,,,1.0,1.0,51m²,47.25m²,,TTC Plaza Đà Nẵng,
G1GKM2,"Điện Biên Phủ, P.Chính Gián, Q.Thanh Khê, TP. Đà Nẵng",2300000.0,38.33,Căn hộ chung cư,,,1.0,1.0,60m²,60m²,,TTC Plaza Đà Nẵng,
262D8Z,"Lô số 03 Lê Đức Thọ, P.Thọ Quang, Q.Sơn Trà, TP. Đà Nẵng",4500000.0,78.94,Căn hộ chung cư,,,2.0,2.0,57m²,57m²,,Hiyori,
G1GQ02,"48 Điện Biên Phủ, P.Hải Châu, Q.Hải Châu, TP. Đà Nẵng",2300000.0,48.93,Căn hộ chung cư,A01-008-017,,1.0,1.0,47m²,,Cơ bản,TTC Plaza Đà Nẵng,
3Y776Q,"d19 vũ đình liệu, P.Hưng Phú, Q.Cái Răng, TP. Cần Thơ",1500000.0,25.42,Căn hộ chung cư,A06-10,Nam,2.0,1.0,59m²,,Cơ bản,Cara River Park,Nhà trống
YEMGMD,"Căn hộ số 1912AB - Tháp B, Chung cư Lộc Ninh Singashine Quốc Lộ 6, TT.Chúc Sơn, H.Chương Mỹ, TP. Hà Nội",2500000.0,51.12,Căn hộ chung cư,1912AB,,2.0,1.0,48.90m²,,Đầy đủ,Chung cư Lộc Ninh Singashine,
QHQJ8U,"Nguyễn Phước Lan, P.Hoà Quý, Q.Ngũ Hành Sơn, TP. Đà Nẵng",2600000.0,44.82,Căn hộ chung cư,F2,,1.0,1.0,58m²,52m²,Cơ bản,FourS Tower,
0ZBEQ9,"Lô B5.1, Khu đô thị FPT Hoàng Minh Thắng, P.Hoà Hải, Q.Ngũ Hành Sơn, TP. Đà Nẵng",3300000.0,48.03,Căn hộ chung cư,"P2-22.30 , tầng 22",Đông Nam,2.0,1.0,68.70m²,,Đầy đủ,Tòa nhà chung cư FPT Plaza 2,Đang cho thuê
UC70JS,"Nguyễn Phước Lan, P.Hoà Quý, Q.Ngũ Hành Sơn, TP. Đà Nẵng",2600000.0,50.0,Căn hộ chung cư,,,2.0,1.0,52m²,52m²,,FourS Tower,
67WMY8,"Căn hộ B9.03 Chung cư The ZEI - Lê Đức Thọ, P.Mỹ Đình 2, Q.Nam Từ Liêm, TP. Hà Nội",13000000.0,121.38,Căn hộ chung cư,B9-03,,3.0,2.0,107.10m²,,Đầy đủ,The Zei,
ABZ9EY,"Căn 2628 - Tầng 26 Tòa nhà CT12C - Khu đô thị mới Kim Văn - Kim Lũ, P.Đại Kim, Q.Hoàng Mai, TP. Hà Nội",3800000.0,71.02,Căn hộ chung cư,Tầng 26 - Căn 2628,,2.0,2.0,53.50m²,,,Tòa nhà CT12C,
QHRX5U,"Căn hộ A-12-06 Chung cư Kim Cương Xanh - Cara River Park, Khu đô thị Nam Cần Thơ, P.Hưng Thạnh, Q.Cái Răng, TP. Cần Thơ",4000000.0,57.72,Căn hộ chung cư,A-12-06,,2.0,2.0,69.30m²,64.70m²,,Cara River Park,
WG34WR,"Tòa nhà ZR2 (Z30M), Lô đất B1-CT02, Dự án Khu đô thị Gia Lâm, Xã Đa Tốn, H.Gia Lâm, TP. Hà Nội",6100000.0,70.03,Căn hộ chung cư,,,3.0,2.0,87.10m²,,,The Zurich - Vinhomes Ocean Park,
QA0C5U,"Chung cư CT6B, Khu đô thị Vĩnh Điềm Trung, Xã Vĩnh Ngọc, TP.Nha Trang, Khánh Hòa",1850000.0,42.78,Căn hộ chung cư,,,1.0,1.0,43.24m²,,,Chung cư CT6B,
4009ZF,"Căn hộ số 8.7 ( tầng 9 ), chung cư An Thịnh, 2B Ngô Gia Khảm, P.Vĩnh Hải, TP.Nha Trang, Khánh Hòa",1600000.0,37.2,Căn hộ chung cư,Căn hộ sô 8.7 ( tầng 9 ),,2.0,1.0,43m²,43m²,,Chung cư An Thịnh,Đang cho thuê
SKK9H5,"Tố Hữu, P.Phước Hải, TP.Nha Trang, Khánh Hòa",5000000.0,53.99,Căn hộ chung cư,T07 (Tầng trệt),Tây,2.0,2.0,92.60m²,92.60m²,Đầy đủ,Serenity Phước Hải,Đang ở
RZXCDJ,"Chung cư CT7A, Khu đô thị Vĩnh Diềm Trung, Xã Vĩnh Hiệp, TP.Nha Trang, Khánh Hòa",2500000.0,34.99,Căn hộ chung cư,,,3.0,2.0,71.44m²,,,Chung cư CT7A,
AC6UJY,"Chung cư CT5, Khu đô thị Vĩnh Điềm Trung, Xã Vĩnh Ngọc, TP.Nha Trang, Khánh Hòa",2490000.0,42.57,Căn hộ chung cư,,,2.0,1.0,58.60m²,,,Chung cư CT5,
D4TUTH,"số 4 Tôn Đản, P.Lộc Thọ, TP.Nha Trang, Khánh Hòa",7300000.0,78.83,Căn hộ chung cư,,,2.0,2.0,92.60m²,,,Chung cư Maple Hotel & Apartment,
2V3ETZ,"Căn hộ 907B (tầng 9) Ô CTXH01, Khu đô thị VCN, P.Phước Long, TP.Nha Trang, Khánh Hòa",2890000.0,41.28,Căn hộ chung cư,,,2.0,1.0,70m²,,,Chung cư nhà ở xã hội,
PX2EMG,"Chung cư Maple Hotel & Apartment, số 4 Tôn Đản, P.Lộc Thọ, TP.Nha Trang, Khánh Hòa",4190000.0000000005,70.33,Căn hộ chung cư,,,1.0,1.0,59.70m²,,,Chung cư Maple Hotel & Apartment,
5HA8Q7,"Căn hộ số 1.19 Chung Cư CT1 VCN Phước Hải, Cao Bá Quát - Cầu Lùng, P.Phước Hải, TP.Nha Trang, Khánh Hòa",3200000.0,49.38,Căn hộ chung cư,Căn hộ chung cư số 1.19,,2.0,1.0,64.80m²,,,Chung Cư CT1 VCN Phước Hải,
3AYK3Q,"Căn hộ chung cư số 510A Khu đô thị vcn - Phước Long 2, P.Phước Long, TP.Nha Trang, Khánh Hòa",2600000.0,39.33,Căn hộ chung cư,510A - Tầng 5,,2.0,1.0,66.10m²,66.10m²,Cơ bản,Nha ở xã hội CTXH-01,Nhà trống
SHDRY5,"68 Quốc Lộ 13, P.Vĩnh Phú, TP.Thuận An, Bình Dương",4220000.0,65.54,Căn hộ chung cư,A-B,,2.0,2.0,64.49m²,59.74m²,,The Emerald Boulevard,
9N3Z6P,"70-92 Phan bội Châu, P.Phú Thọ, TP.Thủ Dầu Một, Bình Dương",2650000.0,33.97,Căn hộ chung cư,A10,,3.0,2.0,78m²,,Cơ bản,The Maison,Đang cho thuê
