ma_bds,address,total_price,price_per_m2,loại hình,chiều ngang,chiều dài,hướng cửa chính,số phòng ngủ,số phòng tắm,số tầng,diện tích đất công nhận,diện tích sử dụng,đường trước nhà,property_type,area_calculated,latitude,longitude,center_distance_km,địa chỉ chi tiết,diện tích tim tường,nội thất,tên dự án / tòa nhà,tình trạng sử dụng
3A3N2Q,"Thửa 638 - tờ 4 Tỉnh Lộ 7, Xã Trung Lập Hạ, H.Củ Chi, TP.HCM",1500000.0,12.77,Đất,7.51m,15.68m,Bắc,,,,,,,land,117462.80344557557,10.996796140237702,106.50904572709422,31.743121552447523,,,,,
J24XK0,"Một phần nhà số 1/4L đường số 18B, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",7100000.0,77.85,Đất,4m,22.85m,Đông Nam,,,,,,,land,91201.02761721259,10.76564192076794,106.59524524382195,11.45806399879663,,,,,
J2H7N0,"Thửa 685 - Tờ 14 Nguyễn Văn Cự, P.Tân Tạo, Q.Bình Tân, TP.HCM",6500000.0,90.27,Đất,4m,22.42m,Đông Nam,,,,,,,land,72006.20361138806,10.766281822877252,106.61453866618803,9.360559396670231,,,,,
KF62SC,"Thửa 603 - Tờ 36 An Nhơn Tây, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",1700000.0,11.82,Đất,8.98m,16.2m,Tây,,,,,,,land,143824.02707275804,10.999349176468883,106.50513995554523,32.236320465691556,,,,,
40VA3F,"Thửa 628 - Tờ 8 Ba Sa, Xã Tân An Hội, H.Củ Chi, TP.HCM",2500000.0,14.95,Đất,5m,36m,Tây,,,,,,,land,167224.08026755854,11.000160236351325,106.50208490894008,32.524090142701596,,,,,
SDJRX5,"Thửa 874 - Tờ 29 đường số 460, Xã Trung An, H.Củ Chi, TP.HCM",2200000.0,14.7,Đất,5m,30.22m,Đông Bắc,,,,,,,land,149659.86394557822,11.016955256650572,106.50928492479342,33.44455611818711,,,,,
37HWYQ,"Thửa 702 - Tờ 4 Nguyễn Thị Ngâu, Xã Thới Tam Thôn, H.Hóc Môn, TP.HCM",8500000.0,49.01,Đất,5.5m,32.21m,Đông Bắc,,,,,,,land,173433.99306264028,10.885634092235025,106.58056930828221,17.460621362737182,,,,,
EJFF14,"Thửa 1113 - Tờ 88 Rạch Nguyễn Thị Nhuần, P.An Phú Đông, Q.12, TP.HCM",5600000.0,69.22,Đất,4.16m,20.36m,Tây Nam,,,,,,,land,80901.47356255418,10.764181543035516,106.69717398774706,1.7378171023565216,,,,,
2N42JZ,"Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",22500000.0,64.97,Đất,10m,35.32m,Đông Bắc,,,,,,,land,346313.6832384177,10.787566594271446,106.70135553724957,0.8975984098251121,,,,,
87HNA3,"Thửa 848 - tờ 7 đường số 27, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",6600000.0,18.39,Đất,19.5m,33.05m,Đông Bắc,,,,,,,land,358890.70146818925,11.009572718929716,106.48972957408797,34.199951296262235,,,,,
5HSKE7,"Thửa 594 - Tờ 194 đường số 608, Xã Tân An Hội, H.Củ Chi, TP.HCM",1600000.0,8.68,Đất,5m,38.95m,Tây Nam,,,,,,,land,184331.79723502306,10.996736681919604,106.50025844718452,32.37501257780319,,,,,
1U9RQ6,"Thửa 530 - tờ 2 Phạm Văn Chèo, TT.Củ Chi, H.Củ Chi, TP.HCM",3250000.0,23.27,Đất,4.76m,30.38m,Tây Bắc,,,,,,,land,139664.80446927375,10.993839340153984,106.49824110517842,32.28778598299667,,,,,
0ZY519,"Thửa 593 - Tờ 194 đường số 608, Xã Tân An Hội, H.Củ Chi, TP.HCM",1600000.0,7.6,Đất,5m,41.26m,Tây Nam,,,,,,,land,210526.31578947368,11.001933185644788,106.50555299012375,32.422671563230644,,,,,
QA7JTU,"Thửa 719 - tờ 48 Nguyễn Thị Thử, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",3750000.0,40.23,Đất,5.6m,16.75m,Tây Nam,,,,,,,land,93214.01938851604,10.893829546832123,106.59285628108015,17.144017720956814,,,,,
0ZPBZ9,"Thửa 848 - Tờ 46, hẻm 40 đường số 112, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",3500000.0,11.38,Đất,8.8m,34.95m,Đông Bắc,,,,,,,land,307557.1177504393,11.002927879191576,106.48735181339791,33.83471245471386,,,,,
UDUKZS,"Thửa 44 - tờ 16 Lê Thị Bay, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",5100000.0,11.38,Đất,14.6m,31.47m,Tây Nam,,,,,,,land,448154.65729349735,10.998872663401809,106.51507730441577,31.49198106725764,,,,,
65XFF8,"931/23 (Thửa 716 - tờ 228) Hương Lộ 2, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",5800000.0,86.69,Đất,4m,16.29m,Tây Bắc,,,,,,,land,66905.06402122506,10.777326840974295,106.613065786543,9.405473915360561,,,,,
UY2RXS,"Thửa 604 - Tờ 36 An Nhơn Tây, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",1300000.0,13.82,Đất,6.25m,14.21m,Bắc,,,,,,,land,94066.57018813313,11.005613896053076,106.49164685563102,33.734636065966306,,,,,
WP1W9R,"Thửa 844 - tờ 45 Hương Lộ 2, P.Bình Trị Đông A, Q.Bình Tân, TP.HCM",6500000.0,85.07,Đất,4.94m,15.52m,Đông Nam,,,,,,,land,76407.6642764782,10.761330800952319,106.5910656420294,11.983114667268524,,,,,
GXVXU2,"Thửa 620 - tờ 27 Nguyễn Kim Cương, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",8700000.0,13.88,Đất,10.3m,60m,Đông Bắc,,,,,,,land,626801.1527377521,11.004529111888159,106.50966897444516,32.35098638425572,,,,,
87RX13,"Thửa 717 - tờ 33 Lê Thị Ngà, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",3600000.0,16.49,Đất,4.99m,43.88m,Đông Nam,,,,,,,land,218314.1297756216,11.017384818678838,106.51681331520548,32.97824887595114,,,,,
6S9CT8,"Thửa 641 - tờ 5 Bến Kho Gạo, Xã Hòa Phú, H.Củ Chi, TP.HCM",1650000.0,19.27,Đất,5.4m,15.88m,Tây Bắc,,,,,,,land,85625.32433834978,11.00746588149539,106.49176453332925,33.87795482640341,,,,,
SDDB85,"Thửa 652 - tờ 3 Trần Văn Mười, Xã Xuân Thới Đông, H.Hóc Môn, TP.HCM",3450000.0,41.76,Đất,5m,16.71m,Tây,,,,,,,land,82614.94252873564,10.875402855416366,106.59125684625162,15.835002759993538,,,,,
DEB63H,"Thửa 702 - Tờ 161 Tỉnh Lộ 2, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",6000000.0,22.13,Đất,9.83m,27.29m,Đông Bắc,,,,,,,land,271125.1694532309,11.00604659944205,106.50758560576006,32.62576386459975,,,,,
QA5PDU,"Thửa 453 - Tờ 160, một phần nhà 92/14 đường số 10, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",4900000.0,53.78,Đất,4m,19.4m,Nam,,,,,,,land,91111.93752324284,10.764510261698534,106.60908197998967,9.981492010608116,,,,,
K49D6C,"Lê Đình Cẩn, P.Tân Tạo, Q.Bình Tân, TP.HCM",5000000.0,54.05,Đất,6.15m,15.08m,Bắc,,,,,,,land,92506.93802035153,10.759491366544202,106.60796103312764,10.209952677878677,,,,,
0ZS5Q9,"Thửa 349 - Tờ 94, Một phần nhà 92/1/6 Nguyễn Sơn, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",5700000.0,109.4,Đất,4.3m,12.15m,Tây Nam,,,,,,,land,52102.376599634365,10.79239874398665,106.62939579107258,7.742127876978953,,,,,
5HPGY7,"Thửa 348 - Tờ 94, Một phần nhà 92/1/6 Nguyễn Sơn, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",5350000.0,107.86,Đất,4.3m,11.55m,Đông Bắc,,,,,,,land,49601.33506397182,10.79035890033563,106.61260399843673,9.523935980113816,,,,,
2MUQKZ,"Thửa 638 - tờ 181 Ấp Đông 5, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",5350000.0,65.8,Đất,5.02m,16.9m,Đông Bắc,,,,,,,land,81306.99088145897,10.894452090975115,106.59809389291335,16.81336294203543,,,,,
2M1MHZ,"Thửa 569 - tờ 14 Tỉnh Lộ 8, Xã Hòa Phú, H.Củ Chi, TP.HCM",10500000.0,25.31,Đất,11.6m,34.4m,Tây Nam,,,,,,,land,414855.78822599765,11.002836729158831,106.48751900785778,33.81485792104606,,,,,
UDK82S,"Thửa 1051 - tờ 20 đường số 28, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",2650000.0,32.96,Đất,5.12m,17.54m,Tây Bắc,,,,,,,land,80400.4854368932,10.994725836984541,106.50513711181709,31.853115830925365,,,,,
UY93MS,"Thửa 566 - tờ 37 Tân Hiệp 16, Xã Tân Hiệp, H.Hóc Môn, TP.HCM",1100000.0,12.5,Đất,4.2m,19.1m,Tây Nam,,,,,,,land,88000.0,10.890848479346948,106.59668765495789,16.617933732430284,,,,,
5HE4H7,"Thửa 570 - Tờ 89, Một phần nhà số 168/61 Chiến Lược, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",5100000.0,63.9,Đất,4m,20.09m,Đông,,,,,,,land,79812.20657276995,10.76394750243895,106.61669471749674,9.173672873765154,,,,,
YBBK6D,"MPN 92/14 đường số 10, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",4900000.0,53.78,Đất,4m,18.62m,,,,,,,,land,91111.93752324284,10.775529207100515,106.61163638761042,9.569487736169753,,,,,
QYC63U,"Thửa 662 - tờ 177 Ấp Đông 3, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",3800000.0,36.32,Đất,4.35m,17.01m,Tây Bắc,,,,,,,land,104625.55066079296,10.89372645782267,106.58006405703972,18.11257258679634,,,,,
E0PUB4,"Thửa 556 - tờ 21 Nguyễn Thị Chuỗi, Xã Phước Thạnh, H.Củ Chi, TP.HCM",3200000.0,6.94,Đất,8.69m,51.7m,Đông Nam,,,,,,,land,461095.1008645533,10.997824409726881,106.51222870323063,31.603214418551033,,,,,
5HKRE7,"Thửa 430 - Tờ 192, 55-57 Bình Long, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",5800000.0,114.39,Đất,4.84m,11.23m,Bắc,,,,,,,land,50703.73284378005,10.77215215513352,106.60695849087094,10.104906725629931,,,,,
6SXF48,"Thửa 695 - Tờ 2 Phạm Văn Đồng, P.11, Q.Bình Thạnh, TP.HCM",10150000.0,180.28,Đất,4m,14.16m,,,,,,,,land,56301.30907477257,10.804175958044175,106.71878820409873,3.456749026955717,,,,,
SDUDS5,"Thửa 598 - Tờ 194 đường số 608, Xã Tân An Hội, H.Củ Chi, TP.HCM",2700000.0,3.42,Đất,6.18m,46.13m,Đông Nam,,,,,,,land,789473.6842105263,10.999806031002128,106.51225829083926,31.768688571049136,,,,,
EJG264,"17  (Thửa 546 - Tờ 149) đường số 1A, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",6500000.0,71.9,Đất,4m,22.29m,Đông,,,,,,,land,90403.33796940194,10.75345488312784,106.60351575662949,10.844822749852767,,,,,
0ZT8Y9,"Thửa 429 - Tờ 192, một phần nhà số 55-57 Bình Long, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",5800000.0,113.94,Đất,5.41m,10.2m,Bắc,,,,,,,land,50903.98455327365,10.770634646231946,106.59379865168589,11.553305058012121,,,,,
J2Z650,"Thửa 428 - Tờ 192, một phần nhà số 55-57 Bình Long, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",5800000.0,113.5,Đất,6.29m,9.05m,Bắc,,,,,,,land,51101.32158590308,10.768714624498433,106.61279481851406,9.51047417441233,,,,,
RGTHAJ,"Thửa 538 + 539 + 540 - Tờ 41, 97/6 Trần Bá Giao, P.5, Q.Gò Vấp, TP.HCM",33000000.0,107.8,Đất,12.1m,23.98m,Đông Nam,,,,,,,land,306122.44897959183,10.82635320902298,106.68707526824322,5.314327487675413,,,,,
5HANM7,"Thửa 944-Tờ 67 hẻm Đường TX 31, P.Thạnh Xuân, Q.12, TP.HCM",4550000.0,45.82,Đất,4m,24.55m,Bắc,,,,,,,land,99301.61501527717,10.78663161866889,106.69412524611761,0.9279282223945745,,,,,
0ZMGX9,"Thửa 629 - tờ 98 đường số 5A, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",5250000.0,82.8,Đất,3.96m,15.92m,Tây,,,,,,,land,63405.79710144928,10.770789170199855,106.59036434652513,11.926073320458269,,,,,
QA2CBU,"Thửa 570 - Tờ 6 Nguyễn Thị Ngâu, Xã Thới Tam Thôn, H.Hóc Môn, TP.HCM",4250000.0,18.11,Đất,5.03m,39.93m,,,,,,,,land,234676.97404748757,10.876783776598414,106.58719648086493,16.268473940708898,,,,,
40XJ4F,"Thửa 545 - tờ 9 Lê Thị Kim, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",5550000.0,51.57,Đất,5m,21.54m,Tây Nam,,,,,,,land,107620.70971495056,10.890109089029572,106.59456409595875,16.715388904523987,,,,,
1USKC6,"Thửa 427 - Tờ 192, một phần nhà số 55-57 Bình Long, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",5800000.0,114.85,Đất,5.1m,10.26m,Tây,,,,,,,land,50500.65302568568,10.75769259818214,106.61307438168203,9.713329269128879,,,,,
KF09BC,"Thửa 527 - tờ 144 (MPN 24/11/2-24/11/2A) Bình Trị Đông, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",4400000.0,78.29,Đất,4m,11.6m,Tây Bắc,,,,,,,land,56201.302848384206,10.767560543270395,106.615420687469,9.243574795198196,,,,,
WG15HR,"Thửa 539 - tờ 50 đường số 488, Xã Phạm Văn Cội, H.Củ Chi, TP.HCM",3750000.0,15.88,Đất,8m,29.5m,Đông Bắc,,,,,,,land,236146.0957178841,10.994747037148983,106.51136589458885,31.405817137263977,,,,,
65SBS8,"Thửa 698 - tờ 31 Dương Công Khi, Xã Xuân Thới Thượng, H.Hóc Môn, TP.HCM",9500000.0,18.18,Đất,10.58m,49.92m,Tây Bắc,,,,,,,land,522552.25522552256,10.886091393469925,106.59842598714874,16.102406057867427,,,,,
2MDGTZ,"Thửa 1214 - Tờ 55 An Phú Đông 27, P.An Phú Đông, Q.12, TP.HCM",5700000.0,59.25,Đất,4.5m,21.56m,Bắc,,,,,,,land,96202.53164556962,10.777170821033609,106.69628031023926,0.41703882382660123,,,,,
9T7J0P,"Thửa 1215 - Tờ 55 An Phú Đông 27, P.An Phú Đông, Q.12, TP.HCM",5700000.0,60.12,Đất,4.5m,21.24m,Bắc,,,,,,,land,94810.37924151697,10.776917513443538,106.69732707633715,0.3677095857035432,,,,,
SHEXB5,"Thửa 1028 - Tờ 142 đường số 2, Xã Xuân Thới Đông, H.Hóc Môn, TP.HCM",5100000.0,55.55,Đất,5m,19m,Tây,,,,,,,land,91809.18091809182,10.882366185410142,106.60872737493462,15.041718808821303,,,,,
JZQU80,"Thửa 899 - tờ 14 đường số 59, P.14, Q.Gò Vấp, TP.HCM",4800000.0,87.11,Đất,4.17m,14.53m,Đông Nam,,,,,,,land,55102.74365744461,10.819798046159171,106.66165429462836,6.024495912016837,,,,,
SDRK25,"MPN 1658/10 Tỉnh Lộ 10, P.Tân Tạo, Q.Bình Tân, TP.HCM",4800000.0,46.73,Đất,6.47m,18.22m,Đông Nam,,,,,,,land,102717.7402097154,10.751069865205315,106.60765823778365,10.486015589184293,,,,,
2MS4GZ,"Thửa 14 - Tờ 8 Sông Lu 2, Xã Hòa Phú, H.Củ Chi, TP.HCM",24500000.0,8.11,Đất,40.51m,80.06m,Đông Bắc,,,,,,,land,3020961.775585697,11.006223237404283,106.48991722498307,33.91174922672702,,,,,
DEPQXH,"Thửa 544 - tờ 9 Lê Thị Kim, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",6200000.0,57.51,Đất,5m,21.57m,Nam,,,,,,,land,107807.33785428622,10.882937775077417,106.60274439560902,15.525468491445741,,,,,
UYDQDS,"Thửa 854 - Tờ 104 Đông hưng thuận 02, P.Tân Hưng Thuận, Q.12, TP.HCM",4590000.0,79.13,Đất,4m,14.5m,Đông,,,,,,,land,58005.81321875395,10.777746164632166,106.71122809576244,1.3532275421803612,,,,,
5HE127,"Thửa 695 - tờ 55 Đông Thạnh 7, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",4880000.0,26.97,Đất,5m,36.29m,Bắc,,,,,,,land,180941.78717093068,10.89488010443214,106.59001493597918,17.440549645921582,,,,,
85AGU3,"Thửa 215 - tờ 110 Trung Đông 2, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",4130000.0,34.72,Đất,4.9m,24.46m,Tây,,,,,,,land,118951.6129032258,10.886495674610412,106.58173435482396,17.430703147845602,,,,,
5HE1T7,"Thửa 696 - tờ 55 Đông Thạnh 7, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",4880000.0,26.82,Đất,5m,36.48m,Bắc,,,,,,,land,181953.7658463833,10.870326121857424,106.59706220613965,14.987545432020925,,,,,
0ZZ8D9,"49/40/19/3 Trịnh Đình Trọng, P.Phú Trung, Q.Tân Phú, TP.HCM",7800000.0,68.84,Đất,4.1m,27.95m,Tây Bắc,,,,,,,land,113306.21731551424,10.798904981456674,106.61053136742879,9.90676508755696,,,,,
U7NYXS,"Thửa 426 - Tờ 1, đường số 33, P.10, Q.6, TP.HCM",11800000.0,159.45,Đất,4m,19m,Tây Nam,,,,,,,land,74004.39009093761,10.741076282582489,106.64587270549148,7.2203688785744955,,,,,
ACU2UY,"Thửa 550 - Tờ 81 (950/24A) Nguyễn Ảnh Thủ, Xã Thới Tam Thôn, H.Hóc Môn, TP.HCM",8400000.0,40.85,Đất,9.83m,20.7m,Tây Bắc,,,,,,,land,205630.35495716034,10.871903123237654,106.5881251742138,15.839784557122817,,,,,
AC38FY,"Thửa 1003 - Tờ 53 hẻm đường Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",6500000.0,101.56,Đất,4m,16m,Đông,,,,,,,land,64001.575423395036,10.775159694219242,106.703049103174,0.6746580279754558,,,,,
CWH68B,"Thửa 698 - tờ 55 Đông Thạnh 7, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",7400000.0,14.52,Đất,7m,48.64m,Bắc,,,,,,,land,509641.87327823695,10.875698731053149,106.58624823008253,16.268051418735915,,,,,
7KJ6FA,"Thửa 561 - tờ 145 Võ Thị Hồi, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",7600000.0,82.51,Đất,5m,18.84m,Bắc,,,,,,,land,92110.04726699794,10.872551366401986,106.59017810355945,15.715289664340677,,,,,
R2QH6J,"Thửa 648 - tờ 70 Hà Duy Phiên, Xã Bình Mỹ, H.Củ Chi, TP.HCM",2150000.0,21.47,Đất,8.11m,12.87m,Tây Bắc,,,,,,,land,100139.72985561249,11.020407397785934,106.49016429186842,35.06859646100358,,,,,
7KC24A,"Thửa 1275 Tờ 154 số 35, P.Hiệp Bình Chánh, TP.Thủ Đức, TP.HCM",7680000.0,82.05,Đất,7m,14m,Tây Bắc,,,,,,,land,93601.46252285193,10.85221291627879,106.7461950308751,9.528296289337343,,,,,
9Z91FP,"Thửa 534 - tờ 52 Tân Hoà Đông, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",4650000.0,83.03,Đất,4.02m,14m,Đông,,,,,,,land,56003.85402866434,10.762813461760663,106.61172005950154,9.731733113585646,,,,,
8SB8Y3,"105 Đông Hưng Thuận 5, P.Đông Hưng Thuận, Q.12, TP.HCM",15500000.0,79.08,Đất,12m,16.35m,Đông Bắc,,,,,,,land,196004.04653515428,10.76349345599264,106.71409936759274,2.4422383812469546,,,,,
WZ8N6R,"6 Số 06, P.Trường Thạnh, TP.Thủ Đức, TP.HCM",7000000.0,36.0,Đất,,,Tây Nam,,,,,,,land,194444.44444444444,10.853317290893248,106.76624554747805,10.962978037026332,,,,,
CWZ52B,"Thửa 562 - tờ 145 Võ Thị Hồi, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",7600000.0,85.68,Đất,4.71m,18.17m,Bắc,,,,,,,land,88702.14752567693,10.891996973805789,106.59527276384672,16.81604695083407,,,,,
KF2SZC,"Thửa 563 - tờ 145 Võ Thị Hồi, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",15500000.0,46.35,Đất,8.16m,33.12m,Bắc,,,,,,,land,334412.0819848975,10.889086050212207,106.58725937290075,17.19133117638541,,,,,
W2T8KR,"đường số 5, P.Linh Xuân, TP.Thủ Đức, TP.HCM",3750000.0,48.26,Đất,5.28m,15.67m,,,,,,,,land,77704.1027766266,10.843881236464739,106.75928274897434,9.67908581157086,,,,,
6S0F18,"MP Thửa 644 - tờ 116 Hương Lộ 60B, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",3350000.0,24.48,Đất,6.67m,19.14m,Đông Bắc,,,,,,,land,136846.40522875817,10.876681369568082,106.60455634601935,14.886095309704823,,,,,
0XS889,"158/7/27 Hẻm 158/7, P.14, Q.Bình Thạnh, TP.HCM",2510000.0,66.1,Đất,,,Tây Bắc,,,,,,,land,37972.768532526476,10.81655487179358,106.69813934451695,4.068396316994251,,,,,
9X68HP,"Thửa 1686 - tờ 129 Trần Thị Bốc, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",3650000.0,32.76,Đất,5.08m,25.11m,Đông Bắc,,,,,,,land,111416.36141636143,10.86983067877929,106.5889130109616,15.6268511989795,,,,,
8AKK23,"Thửa 1688 - tờ 129 Trần Thị Bốc, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",3650000.0,30.77,Đất,5.02m,26.53m,Đông Bắc,,,,,,,land,118622.03444913877,10.869874283522881,106.60823011263231,14.06718974944025,,,,,
SK4E65,"Thửa 950 - tờ 42 Tân Chánh Hiệp 7, P.Trung Mỹ Tây, Q.12, TP.HCM",4200000.0,58.9,Đất,3.35m,13.86m,Tây Nam,,,,,,,land,71307.30050933786,10.773791850209157,106.71293274581208,1.6589566864815213,,,,,
6SEVR8,"Thửa 1400 - Tờ 5 hẻm Đường Ba Sa, Xã Phước Hiệp, H.Củ Chi, TP.HCM",1300000.0,10.4,Đất,5m,25.33m,Đông Bắc,,,,,,,land,125000.0,11.020189766496653,106.49572715750769,34.657217657481986,,,,,
A424DY,"2/50 Đướng Số 4, P.Tân Tạo A, Q.Bình Tân, TP.HCM",4630000.0,34.65,Đất,,,Tây,,,,,,,land,133621.93362193363,10.759219546130689,106.6100692920346,9.991946279377796,,,,,
EJ97F4,"28/4 đường số 10, P.Linh Trung, TP.Thủ Đức, TP.HCM",32000000.0,85.6,Đất,11.22m,34m,Đông Bắc,,,,,,,land,373831.7757009346,10.851068559238163,106.73904042062996,9.017615953535705,,,,,
SHDCQ5,"Thửa 1295 - tờ 72 Xuân Thới Thượng 4, Xã Bà Điểm, H.Hóc Môn, TP.HCM",3300000.0,31.22,Đất,5m,21.35m,Đông Nam,,,,,,,land,105701.4734144779,10.89667155644831,106.58008493061013,18.339084362052144,,,,,
7KBQJA,"Thửa 1502 - tờ 17 Tân Thới Hiệp 14, P.Tân Thới Hiệp, Q.12, TP.HCM",5500000.0,69.62,Đất,5m,16.01m,Đông Bắc,,,,,,,land,79000.2872737719,10.787580876091667,106.71555832372992,2.002991764840281,,,,,
37UJWQ,"Thửa 1204-Tờ 55 hẻm Đường An Phú Đông 25, P.An Phú Đông, Q.12, TP.HCM",4700000.0,63.42,Đất,5.36m,14.03m,Đông Bắc,,,,,,,land,74109.11384421318,10.776382149516577,106.71025330120774,1.2840989240369023,,,,,
3ADHUQ,"Thửa 789 - tờ 48 Vũ Trọng Phụng, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",3600000.0,44.94,Đất,5m,16.09m,Đông Bắc,,,,,,,land,80106.8090787717,10.881531320695734,106.59831410933323,15.746443399005894,,,,,
GMX6H2,"Thửa 1291 - tờ 72 Xuân Thới Thượng 4, Xã Bà Điểm, H.Hóc Môn, TP.HCM",3900000.0,28.03,Đất,6.12m,22.24m,Đông Bắc,,,,,,,land,139136.63931501962,10.875524516139576,106.60365940536599,14.86289496676571,,,,,
SUZW5Y,"Thửa 616 - Tờ 3, 55/9/8 Lò Lu, P.Trường Thạnh, TP.Thủ Đức, TP.HCM",5600000.0,70.0,Đất,4.001m,20.001m,Nam,,,,,,,land,80000.0,10.859029925959746,106.75300850348323,10.567867246302573,,,,,
UK0F4S,"63/14 Lê Quang Định, P.14, Q.Bình Thạnh, TP.HCM",2320000.0,61.15,Đất,,,Tây Bắc,,,,,,,land,37939.493049877354,10.799554002179566,106.71052200572234,2.522270060293117,,,,,
DEQJ6H,"Thửa 542 - Tờ 90 đường số 17, P.Bình Chiểu, TP.Thủ Đức, TP.HCM",5280000.0,60.0,Đất,4m,22.18m,Tây Nam,,,,,,,land,88000.0,10.84452376865627,106.7681363480521,10.411252838577724,,,,,
GXVSC2,"Thửa 730 - Tờ 46 Lê Thị Bay, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",1950000.0,22.67,Đất,5m,17.23m,Tây Nam,,,,,,,land,86016.76224084693,11.019063308270026,106.49339418182858,34.726296249636185,,,,,
8554V3,"Thửa 849 - Tờ 34 Tỉnh Lộ 15, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",1800000.0,15.53,Đất,5m,23.18m,Bắc,,,,,,,land,115904.7005795235,10.995467340603046,106.51256131443937,31.38110840718667,,,,,
85SGY3,"Thửa 698 - Tờ 161 Tỉnh Lộ 2, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",4099999.999999999,26.23,Đất,5m,32.27m,Đông Bắc,,,,,,,land,156309.56919557755,11.00246423405777,106.51207357691064,32.00733633467324,,,,,
RG0C4J,"Thửa 1020 - Tờ 41 Lê Thị Đảo, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",2250000.0,19.11,Đất,5m,23.56m,Tây,,,,,,,land,117739.40345368917,11.006261663417146,106.51095522037888,32.40905160653628,,,,,
DC06ZH,"Thửa 747 - Tờ 32 Bến Đường Cát, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",2200000.0,16.38,Đất,4m,33.64m,Tây,,,,,,,land,134310.1343101343,10.993769033343126,106.48891667419223,32.98376847927554,,,,,
3DRW6Q,"34/9/21 Quang Trung, P.08, Q.Gò Vấp, TP.HCM",9200000.0,81.12,Đất,,,Đông Nam,,,,,,,land,113412.22879684418,10.823936955675991,106.67928128846737,5.339931286519608,,,,,
RGVY3J,"Thửa 574 - Tờ 8, hẻm 525/7 Lê Trọng Tấn, P.Sơn Kỳ, Q.Tân Phú, TP.HCM",5800000.0,96.66,Đất,4m,15m,Đông Bắc,,,,,,,land,60004.13821642872,10.797375754004873,106.62771086093473,8.038620913710538,,,,,
SDE6E5,"Thửa 661 - Tờ 126 Tỉnh Lộ 15, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",1290000.0,11.2,Đất,5m,23.17m,Tây Nam,,,,,,,land,115178.57142857143,10.994813453681623,106.50122408858572,32.14656996577867,,,,,
0ZXBJ9,"Thửa 1280-2 - Tờ 94 đường số 6, P.Long Bình, TP.Thủ Đức, TP.HCM",3190000.0,63.16,Đất,4m,12.82m,Đông,,,,,,,land,50506.649778340725,10.837737085721548,106.75118321781845,8.580337325233451,,,,,
RGZZGJ,"Thửa 512 - Tờ 102 Nguyễn Thị Măng, Xã Thái Mỹ, H.Củ Chi, TP.HCM",3550000.0,3.36,Đất,18.73m,76.45m,Đông Bắc,,,,,,,land,1056547.6190476192,11.018362294657186,106.50897521019328,33.58768513577746,,,,,
