address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km,số phòng ngủ,số phòng tắm,diện tích sử dụng
"Căn hộ 414 Tầng 5 Lô B1 Chung cư phường 3, Đường Vĩnh Hội, P.3, Q.4, TP.HCM",3850000.0,48.12,80008.31255195345,10.732611189899451,106.72906456863083,6.166119153385788,2.0,1.0,
"Căn hộ D12-12A, Dream Home Palace, P.7, Q.8, TP.HCM",2500000.0,0.4,6250000.0,10.764178028321618,106.73163083591052,3.961707332463242,2.0,2.0,
"Căn hộ P-65B, Tầng 7 Chung cư số 5 đường Cao Thắng, P.2, Q.3, TP.HCM",1670000.0,70.28,23762.094479225954,10.76362142399767,106.6658646839937,4.043814714464234,1.0,1.0,
"Căn hộ 5.05 Chung cư Phan Văn Trị, P.2, Q.5, TP.HCM",3300000.0,59.56,55406.312961719275,10.742831313767251,106.7160966310665,4.493700896612163,2.0,2.0,
"Căn 13.07 - Tầng 14 - Block B Chung cư IC2 Cantavil, đường số 25, P.An Phú, TP.Thủ Đức, TP.HCM",9000000.0,97.08,92707.0457354759,10.844150305623142,106.76725501213348,10.31294563285086,3.0,2.0,
"Căn 410 Tầng 5 Lô B Chung cư Cư Xá Gò Dầu 1, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",2650000.0,50.0,53000.0,10.794315272807793,106.6239809247428,8.363430461828283,2.0,1.0,
"Căn 0.17 Lô A Chung cư Vườn Lài, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",4200000.0,100.0,42000.0,10.802988451763358,106.63488283855968,7.469927966463261,1.0,1.0,
"Căn hộ 2C-10-2 Chung cư cao tầng Phú Mỹ, P.Phú Mỹ, Q.7, TP.HCM",5700000.0,61.29,93000.48947626041,10.730915144935295,106.72277284624045,5.9971686323455025,2.0,2.0,
"Căn hộ A19.02 Lô A Chung cư số 4 Đường Phan Chu Trinh (nối dài), P.12, Q.Bình Thạnh, TP.HCM",3590000.0,64.1,56006.24024960999,10.806536637201456,106.70419241515852,3.0125035844532184,2.0,1.0,
"Căn 209 - Tầng 3 - Lô A - Chung Cư 207 Bùi Viện, P.Phạm Ngũ Lão, Q.1, TP.HCM",3600000.0,90.49,39783.401480826615,10.788605827028373,106.6897011456535,1.4115516803893469,1.0,1.0,
"Căn hộ 14.05, Tầng 15, Khối A Khu căn hộ chung cư cao tầng, 633 Kinh Dương Vương, P.An Lạc, Q.Bình Tân, TP.HCM",2750000.0,49.01,56110.99775556009,10.762709089742476,106.59994115333096,11.00059288727881,2.0,1.0,52m²
"Căn hộ 14.5 chung cư 326/1 Ung Văn Khiêm, P.25, Q.Bình Thạnh, TP.HCM",5200000.0,69.51,74809.3799453316,10.817752646070335,106.71361820578944,4.492619588107097,2.0,1.0,
"Căn hộ 1.04 - Tầng 1 và 2 - Khối Tháp C Khu nhà ở cao tầng Công ty Saphire, 454 Võ Chí Công, P.Phú Hữu, TP.Thủ Đức, TP.HCM",12000000.0,66.92,179318.58936043037,10.855633807203443,106.76186367029253,10.844614317969892,4.0,1.0,166.30m²
"Căn hộ 3.20, Tầng 3, Tòa nhà S10.07 - 88 Phước Thiện, Long Bình, Q.9, TP.HCM",3320000.0,0.06,55333333.333333336,10.79302346947361,106.6877249483747,1.9163557089643342,2.0,2.0,
"Căn hộ A22.03 Tầng 22, chung cư lô D, 90 Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh, TP.HCM",3800000.0,94.29,40301.198430374374,10.820329008335372,106.70698756238355,4.568400989056279,1.0,1.0,
"Chung cư Hưng Vượng 1, đường Nguyễn Văn Linh, căn hộ E-407, P.Tân Phong, Q.7, TP.HCM",4350000.0,63.59,68406.98222991035,10.826272759125915,106.72104737930354,5.678067454622454,2.0,1.0,68.40m²
"Căn hộ 203B, Tầng 3, Nhà N01, chung cư K26, số 33 Đường Dương Quảng Hàm, P.7, Q.Gò Vấp, TP.HCM",2900000.0,37.66,77004.7796070101,10.826950671747223,106.69096883495553,5.291070603808383,2.0,2.0,70.43m²
"BN2, P.Đông Hưng Thuận, Q.12, TP.HCM",1.98,0.0,inf,10.771048989711183,106.68794357916661,1.5503009300732544,1.0,1.0,
"Chu Văn An, Hòa Phú, TP.Thủ Dầu Một, TP.HCM",1980000.0,55.0,36000.0,10.775241635891499,106.69216043366352,0.9037192847604445,,,
"Đào trí, P.Phú Thuận, Q.7, TP.HCM",7000000.0,90.21,77596.71876732071,10.730673940978502,106.68297811656204,5.708924285922486,2.0,2.0,
"47-57 Nguyễn Thái Bình, P.Bến Thành, Q.1, TP.HCM",2050000.0,83.09,24672.04236370201,10.779759637816388,106.70057809918463,0.1695542727162572,1.0,1.0,24.67m²
"Cao Ốc Fico 927 Trần Hưng Đạo, P.1, Q.5, TP.HCM",14000000.0,163.55,85600.73372057475,10.744331093277372,106.6758935468859,4.667111513839683,2.0,2.0,85m²
"B võ chí công, Bình Trưng Đông, Q.2, TP.HCM",5000000.0,70.42,71002.55609201931,10.776788723220676,106.6598945162094,4.292780353903829,2.0,2.0,66m²
"Chung Cư Thiên Nam 7A/162 Thành Thái, P.14, Q.10, TP.HCM",9500000.0,75.27,126212.3023781055,10.765273759793264,106.71076966557736,2.055626486675335,3.0,3.0,
"Căn Thương mại số 1.08, Tầng 1+2, Tháp M2, Chung cư Jamona City Đào Trí, P.Phú Thuận, Q.7, TP.HCM",6800000.0,37.52,181236.6737739872,10.761593249195595,106.72870936287447,3.8193582882721917,2.0,2.0,181.20m²
"Số 5G, Tầng 7, Chung cư 35-37 Bến Chương Dương, P.Nguyễn Thái Bình, Q.1, TP.HCM",7000000.0,98.28,71225.07122507122,10.773065603606813,106.69507527478754,0.8598336504729667,1.0,1.0,71.22m²
"26 Nguyễn thượng hiền, P.1, Q.Gò Vấp, TP.HCM",2000000.0,40.0,50000.0,10.831113213370147,106.67118836673671,6.442356404521133,2.0,2.0,46m²
"Nguyễn Xiển, P.Long Thạnh Mỹ, Q.9, TP.HCM",3230000.0,69.91,46202.26004863396,10.749240937158637,106.65515787816533,5.868363764848406,1.0,1.0,
"Trần Hưng Đạo, P.Phạm Ngũ Lão, Q.1, TP.HCM",15800000.0,132.18,119533.9688303828,10.783208492328688,106.70553088651819,0.8057360080207275,2.0,1.0,
"Tân Sơn Nhì, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",2300000.0,41.07,56001.94789383979,10.800029800285447,106.63300126876175,7.560221130955757,2.0,1.0,59m²
"110A Phạm Văn Đồng, P.3, Q.Gò Vấp, TP.HCM",5200000.0,74.28,70005.38502961767,10.812673126663244,106.67812561544649,4.296451687861608,2.0,2.0,
"68/19 Nguyễn Bá Tòng, P.11, Q.Tân Bình, TP.HCM",1700000.0,50.0,34000.0,10.797626596723573,106.65168147197578,5.541374235469262,2.0,1.0,34m²
"Nguyễn bỉnh khiêm, P.1, Q.Gò Vấp, TP.HCM",2800000.0,56.0,50000.0,10.817129497724789,106.66203751443169,5.7817043108284105,2.0,1.0,46m²
"Nguyễn Văn Linh, Xã Bình Hưng, H.Bình Chánh, TP.HCM",5300000.0,68.69,77158.24719755423,10.691309487524254,106.58704477823001,15.678577008482577,2.0,2.0,
"Căn hộ S20 Khối 1, 377 đường Tân Hương, P.Tân Quý, Q.Tân Phú, TP.HCM",780.0,34.66,22.504327755337567,10.790724066470558,106.63454419931627,7.155379422528827,1.0,1.0,
"Căn hộ số 4.09, tầng 5, Chung cư Thanh Niên Bàu Cát 2, P.14, Q.Tân Bình, TP.HCM",2600000.0,53.06,49001.13079532605,10.801898624751185,106.64978957929709,5.91442337603266,2.0,1.0,
"Tòa nhà Landmark Plus 720A Điện Biên Phủ, P.22, Q.Bình Thạnh, TP.HCM",12000000.0,149.81,80101.46185167879,10.796142232750022,106.71970718683131,2.8962722145099384,2.0,2.0,70.60m²
"Căn hộ 5.12 Chung cư Nhiêu Lộc C - Lô D Dương Văn Dương, P.Tân Quý, Q.Tân Phú, TP.HCM",2850000.0,40.25,70807.45341614907,10.80429928092527,106.6260810798833,8.425966711386303,2.0,2.0,
"Căn hộ 3.18 Chung cư Petroland số 2 đường 62, P.Bình Trưng Đông, TP.Thủ Đức, TP.HCM",3900000.0,53.13,73404.85601355166,10.840880026175723,106.74960034044543,8.732423322761429,2.0,2.0,
"3.03 Chung cư 540/1 Cách Mạng Tháng 8, P.11, Q.3, TP.HCM",9750000.0,75.87,128509.29221035982,10.789350925272764,106.6968619649091,1.0843105767942562,3.0,3.0,128.50m²
"Bùi Tư Toàn, P.An Lạc, Q.Bình Tân, TP.HCM",2850000.0,35.18,81011.93860147812,10.75830278375032,106.6044658623433,10.61188856577734,3.0,2.0,81m²
"Thuỷ Lợi, P.Phước Long A, TP.Thủ Đức, TP.HCM",3700000.0,58.54,63204.64639562692,10.843958396983789,106.73937989415258,8.358228684438576,2.0,2.0,
"Căn hộ chung cư số 4.04, tầng 5, khối A, chung cư Vạn Gia Phúc (The Garden) số 295 Tân Kỳ Tân Quý, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",5200000.0,65.0,80000.0,10.79139527710766,106.63663470820444,6.943490133917755,3.0,2.0,75.40m²
"Căn hộ H10.04 Khu dân cư Happy Valley (R18), P.Tân Phong, Q.7, TP.HCM",11000000.0,110.11,99900.0999000999,10.820510683395753,106.70100406446986,4.509981646807078,3.0,2.0,92.50m²
"Chung cư Hoàng Quốc Việt, P.Phú Thuận, Q.7, TP.HCM",3100000.0,51.66,60007.742934572205,10.789158083414202,106.70252627645968,1.1051260338340942,2.0,2.0,56.80m²
"Tân Kỳ Tân Quý, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",5000000.0,65.18,76710.64743786436,10.794692958120539,106.6110282320889,9.76436188725017,3.0,2.0,
"9 Ngô Chí Quốc, P.Bình Chiểu, TP.Thủ Đức, TP.HCM",2880000.0,41.14,70004.86144871172,10.850209078361011,106.74906679756639,9.519688450653197,2.0,2.0,70m²
"Số 49 Đường Số 45, P.14, Q.Gò Vấp, TP.HCM",4200000.0,34.22,122735.24254821741,10.837744360624026,106.6657285579391,7.373109169329156,2.0,2.0,122.70m²
"Chung cư 78 Tân Hòa Đông - Lô A, P.14, Q.6, TP.HCM",2050000.0,0.03,68333333.33333334,10.785872133349303,106.67547102017605,2.662881902298583,2.0,1.0,
"Căn hộ số 10.01, Block A Moonlight Park View, đường số 7, P.An Lạc A, Q.Bình Tân, TP.HCM",4750000.0,62.74,75709.27637870576,10.760329211193323,106.59901254404413,11.148513874367847,3.0,2.0,
"Căn hộ G3.03 Chung cư Happy Valley, đường Nguyễn Văn Linh, P.Tân Phong, Q.7, TP.HCM",14000000.0,120.68,116009.28074245939,10.763291678235195,106.74444203817292,5.291423501791462,2.0,2.0,110m²
"Căn 13.16 Chung cư Thái An 2, P.Đông Hưng Thuận, Q.12, TP.HCM",3700000.0,50.59,73136.98359359556,10.763933420380742,106.71377815792081,2.3826272192469315,2.0,2.0,
"Căn 2.4 - Tầng 3 Chung cư 482A Nơ Trang Long, P.13, Q.Bình Thạnh, TP.HCM",3100000.0,62.0,50000.0,10.820511956945765,106.70667734095984,4.581953210383901,2.0,1.0,
"Căn hộ BS929.09, 512 Đường Nguyễn Xiển, Long Thạnh Mỹ, Q.9, TP.HCM",3900000.0,65.0,60000.0,10.802470496749907,106.74859575753096,5.973525602373298,2.0,2.0,
"Căn 348 (Lầu 3) Chung cư Hào Huê, P.7, Q.5, TP.HCM",3200000.0,54.41,58812.71825032164,10.758229431413065,106.65333539243788,5.537132296521365,2.0,1.0,
"Căn hộ 17.06 Chung cư Scenic Valley 1, đường Tôn Dật Tiên, P.Tân Phú, Q.7, TP.HCM",8500000.0,95.72,88800.668616799,10.79921249219884,106.62627248093102,8.241939763254289,2.0,2.0,83.40m²
"Chung cư Khang Gia, số 59 Hồ Thành Biên, P.4, Q.8, TP.HCM",1900000.0,31.66,60012.63423878711,10.808570029776961,106.74526999041382,5.976004699792978,2.0,1.0,56m²
"Căn hộ 0.29 - Chung cư Bàu Cát 2, 10, Q.Tân Bình, TP.HCM",6500000.0,90.27,72006.20361138806,10.802118764726838,106.66730784268424,4.2587731588122715,2.0,2.0,
"Căn 1.8 Chung cư 275 Lê Văn Sỹ, P.1, Q.Tân Bình, TP.HCM",14500000.0,213.23,68001.68831777893,10.81330629562484,106.63914799034647,7.525457171308893,1.0,1.0,
"Chung cư Victoria Village số 266 Trương Văn Bang, P.Cát Lái, TP.Thủ Đức, TP.HCM",6080000.0,88.11,69004.6532743162,10.859255983249588,106.76751283273727,11.54815313774736,2.0,2.0,
"Căn hộ số 4.04- Lô B Chung cư CH2, đường số 10, Khu dân cư Cityland, P.10, Q.Gò Vấp, TP.HCM",7200000.0,72.28,99612.6175982291,10.828034016422803,106.68510463426274,5.549940784993958,3.0,2.0,91.80m²
"Căn 1159 trệt và 112/32F Chung cư đường Trần Hưng Đạo, P.5, Q.5, TP.HCM",22000000.0,107.63,204403.9765864536,10.792666356203846,106.66223230783947,4.2689840047119745,4.0,5.0,
"Căn hộ số 018 (Tầng 1+ lửng) Bàu Cát 2, P.14, Q.Tân Bình, TP.HCM",7500000.0,115.83,64750.064750064754,10.814735792671007,106.66612974467083,5.281128169142045,2.0,1.0,
"Căn 22.1 - Tháp E2  Chung cư Masteri Centre Point, P.Long Bình, TP.Thủ Đức, TP.HCM",6100000.0,81.98,74408.39229080263,10.864313204729514,106.76494565570671,11.805962182659638,2.0,2.0,
"Căn 207 Chung cư 292 Bến Chương Dương, 482 Võ Văn Kiệt, Cầu Kho, Q.1, TP.HCM",3700000.0,0.08,46250000.0,10.772433803459567,106.70176080992854,0.8663295378380285,1.0,1.0,
"Căn hộ 3.19, Chung cư Nguyễn Ngọc Phương, số 66 Nguyễn Ngọc Phương, P.19, Q.Bình Thạnh, TP.HCM",8300000.000000001,87.64,94705.61387494295,10.823100071066381,106.71700747321431,5.178985863376951,3.0,2.0,
"Căn hộ 21.07, Tầng 21, Toà nhà GH3 - Khu B - 88 Phước Thiện, P.Long Bình, TP.Thủ Đức, TP.HCM",3450000.0,80.79,42703.30486446342,10.857107091914465,106.74995460010489,10.206145787154613,1.0,1.0,
