address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km
"Thửa 616 - tờ 19, đường Đặng Như Mai, Thạnh Mỹ Lợi, Q.2, TP.HCM",58000000.0,200.55,289204.6871104463,10.783172828110432,106.66200646775741,4.066248134413852
"49/3a Đỗ Tấn Phong, Tân Đông Hiệp, Dĩ An, TP.HCM",2950000.0,45.38,65006.610841780515,10.738843070420867,106.65082717903088,6.950032299761315
"44 Quốc lộ 1K, P.Đông Hòa, TP.Dĩ An, TP.HCM",5950000.0,39.66,150025.21432173476,10.744879322789865,106.68955644565797,3.997582820305466
"254/4A Phạm Văn Chí, P.Bình Tiên, Q.6, TP.HCM",4700000.0,94.37,49803.96312387411,10.825923269208259,106.65901692482161,6.722468501160572
"160 số 1, P.Long Trường, TP.Thủ Đức, TP.HCM",6700000.0,49.92,134214.7435897436,10.840014237619009,106.7487071275082,8.596465318687839
"Thửa 697 - tờ 39 Suối Lội, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",3100000.0,29.77,104131.67618407794,11.00153162080791,106.50414844199268,32.48951938315396
"Thửa 665 - Tờ 64 Huỳnh Thị Dần, Xã Bình Mỹ, H.Củ Chi, TP.HCM",2200000.0,16.15,136222.91021671827,10.998405177192675,106.51663416893965,31.343654353871614
"265/98/6 Bùi Văn Ngữ, P.Hiệp Thành, Q.12, TP.HCM",3500000.0,39.72,88116.81772406849,10.762911628008974,106.69801261065955,1.8697164693483068
"299/11 Bình Thành, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",22400000.0,36.24,618101.5452538631,10.753397835814312,106.6064426238543,10.538561132933994
"266/40/25G Tôn Đản, P.8, Q.4, TP.HCM",5800000.0,85.41,67907.73914061586,10.812396644888112,106.68334419168623,3.9942986343924884
"64 Số 2, P.Dĩ An, TP.Dĩ An, TP.HCM",7500000.0,100.0,75000.0,10.75391094098426,106.70481521624751,2.931165775953413
"1454/12E Lê Văn Lương, Xã Phước Kiển, H.Nhà Bè, TP.HCM",5200000.0,40.78,127513.48700343305,10.70634160734403,106.72666426527297,8.667970144540515
"70/22 Phan Huy Ích, P.14, Q.Gò Vấp, TP.HCM",6700000.0,87.12,76905.41781450872,10.822220830246463,106.6894360618229,4.8097475828381615
"Thửa 814 - tờ 167 Dương Công Khi, Ấp 1, Xã Xuân Thới Thượng, H.Hóc Môn, TP.HCM",3200000.0,39.07,81904.27437931918,10.869678971706419,106.58242366862106,16.169648491865672
"Thửa 812 - tờ 167 Dương Công Khi, Ấp 1, Xã Xuân Thới Thượng, H.Hóc Môn, TP.HCM",3200000.0,39.26,81507.89607743251,10.887215541723977,106.58470077116566,17.248177552447533
"Thửa 815 - tờ 167 Dương Công Khi, Ấp 1, Xã Xuân Thới Thượng, H.Hóc Môn, TP.HCM",3200000.0,37.29,85813.89112362564,10.887110418285506,106.60811949202922,15.483973888828544
"Thửa 541 - Tờ: 53, Đường Bùi Công Trừng, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",4500000.0,31.71,141911.06906338694,10.886456366466083,106.58596560834971,17.090122258644598
"48 Cây Trâm, P.08, Q.Gò Vấp, TP.HCM",68100000.0,127.0,536220.4724409449,10.838752224420386,106.68699107616428,6.65406041333033
"44 TL 54, P.Thạnh Lộc, Q.12, TP.HCM",5500000.0,48.88,112520.45826513911,10.790169784218513,106.70673530977326,1.4247834023460828
"Số 6, P.Tam Bình, TP.Thủ Đức, TP.HCM",14500000.0,67.41,215101.61697077585,10.838552254813695,106.75477024953572,8.911495830898453
"Thửa 759 -  Tờ 24 Đình Phong Phú, Tăng Nhơn Phú B, Q.9, TP.HCM",6200000.0,76.54,81003.39691664488,10.81689208649202,106.66270336353314,5.712093155194027
"12 Hẻm 4, P.Tân Thới Nhất, Q.12, TP.HCM",8500000.0,68.16,124706.57276995305,10.786452896348136,106.70728644183902,1.1660864257642745
"Thửa 752 - Tờ 4 Thạnh Lộc 47, P.Thạnh Lộc, Q.12, TP.HCM",22000000.0,44.08,499092.55898366607,10.78264580165363,106.69834121037005,0.32523463309428813
"121 Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",120000000.0,33.32,3601440.576230492,10.767588931905632,106.69844420654061,1.3505548608583586
"Thửa 939 - Tờ 1 Quốc Lộ 1A, P.An Phú Đông, Q.12, TP.HCM",3790000.0,61.12,62009.162303664925,10.770159221796392,106.69143887904525,1.3500359407526934
"170 số 25, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",2000000.0,1.91,1047120.4188481676,11.001986637350667,106.48728478898433,33.76388320089608
"Thửa 615-Tờ 14 Huỳnh Thị Mua, Xã Thái Mỹ, H.Củ Chi, TP.HCM",880.0,2.74,321.1678832116788,10.994606614441567,106.50530485643849,31.831070968004525
"MPN 90/4/25 (Thửa 632 - Tờ 12) Thạnh Xuân 51, P.Thạnh Xuân, Q.12, TP.HCM",2880000.0,41.14,70004.86144871172,10.769759403341405,106.70735486629069,1.434985739436032
"Thửa 785 - tờ 5 Thạnh Lộc 43, P.An Phú Đông, Q.12, TP.HCM",3750000.0,72.67,51603.13747075822,10.772759008175582,106.70625480604134,1.1084691641763178
"Thửa 2392 - tờ 18 đường Thạnh Xuân 43, P.Thới An, Q.12, TP.HCM",4650000.0,55.55,83708.37083708371,10.763001723059029,106.69392611467558,1.9384961511794125
"18C Đường 439, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",4770000.0,5.95,801680.6722689075,11.012922159185235,106.51560995419865,32.666893243527426
"408/24 Hà Huy Giáp, P.Thạnh Lộc, Q.12, TP.HCM",29000000.0,37.76,768008.4745762713,10.774186469019622,106.71060646304592,1.4096354000594646
"96 TCH 03, P.Tân Chánh Hiệp, Q.12, TP.HCM",7100000.0,60.37,117608.08348517476,10.770022068928062,106.70460366196886,1.240188404720679
"Thửa 655 - Tờ 43 Bờ Xe Lam, Xã Tân Kiên, H.Bình Chánh, TP.HCM",8500000.0,30.27,280806.078625702,10.679496411681876,106.59182290869197,16.142342180055838
"26 Hẻm 106, P.Tây Thạnh, Q.Tân Phú, TP.HCM",9200000.0,84.4,109004.73933649289,10.783371822159106,106.6402018931269,6.445870010338948
"207 Nam Cao, P.Tân Phú, TP.Thủ Đức, TP.HCM",5010000.0,33.4,150000.0,10.79765283808874,106.63567283611948,7.205186377114349
"Nguyễn Thị Lắng, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",850.0,4.25,200.0,10.997121525167046,106.4975257161631,32.607668804079545
"Thửa 659 - tờ 42 đường số 691, Xã Thái Mỹ, H.Củ Chi, TP.HCM",1220000.0,8.44,144549.76303317538,11.01953770900087,106.51704992249826,33.1527745962722
"1231/21/16 Tỉnh lộ 43, TP.Thủ Đức, TP.HCM",2000000.0,19.54,102354.14534288639,10.840934118471141,106.76179820302643,9.636895462952122
"Thửa 513 - Tờ 23 Thạnh Xuân 31, P.Thạnh Xuân, Q.12, TP.HCM",19500000.0,33.5,582089.5522388059,10.766604343346005,106.69435248940205,1.5450300941379171
"Thửa 508 - Tờ 44 hẻm Đường Vành Đai 4, Xã Nhuận Đức, H.Củ Chi, TP.HCM",8000000.0,2.6,3076923.076923077,10.994464988429442,106.50243464374785,32.02910611360269
"Vành Đai 3, Xã Bình Chánh, H.Bình Chánh, TP.HCM",2300000.0,25.55,90019.56947162426,10.672451890758612,106.60422429815382,15.76380221914981
"Nguyễn Thị Thử, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",2980000.0,30.1,99003.32225913621,10.887757363931417,106.59141825838726,16.766068773944507
"Phan Văn Hớn, Xã Bà Điểm, H.Hóc Môn, TP.HCM",4600000.0,45.09,102018.18585052117,10.875387854768988,106.60427966846389,14.804583346985819
"Nhị Bình 10A, Xã Nhị Bình, H.Hóc Môn, TP.HCM",8900000.0,16.12,552109.1811414391,10.894603356434905,106.58228389715593,18.007304249973785
"Đường Vạn Kiếp, P.1, Q.Bình Thạnh, TP.HCM",13500000.0,145.31,92904.82416901796,10.814583129232895,106.71293804868166,4.138835606963592
"Thửa 686 - tờ 54 đường số 8, P.Hiệp Bình Phước, TP.Thủ Đức, TP.HCM",7300000.0,46.76,156116.3387510693,10.846730795624453,106.7585113109792,9.856393171566662
"Thửa 1094 - Tờ 12 đường Cầu Ô Giá, Xã Thái Mỹ, H.Củ Chi, TP.HCM",1280000.0,2.12,603773.5849056604,10.99857704436069,106.50897613400609,31.89726624672225
"Võ Trần Chí, Xã Tân Nhựt, H.Bình Chánh, TP.HCM",3400000.0,26.98,126019.27353595255,10.695917364200191,106.5951825289076,14.665773617102083
"Hẻm 10 Lê Đức Thọ, P.15, Q.Gò Vấp, TP.HCM",6500000.0,59.78,108732.01739712278,10.835729556881551,106.68308069735293,6.429260392433974
"1177 Lê Đức Thọ, P.13, Q.Gò Vấp, TP.HCM",111200000.0,115.34,964106.1210334662,10.813661902039293,106.66410396564365,5.350628610550013
"74/7/8 Phan Đăng Lưu, P.05, Q.Phú Nhuận, TP.HCM",4200000.0,128.44,32700.09342883837,10.805726475809784,106.68987740161191,3.038969739465735
"752 Trần Văn Mười, Xã Bà Điểm, H.Hóc Môn, TP.HCM",4500000.0,40.9,110024.44987775061,10.889518690111823,106.59687503815256,16.495624285184576
"Thửa 528 - Tờ 49 Tổ 50, Khu phố 3, P.An Phú Đông, Q.12, TP.HCM",2400000.0,32.0,75000.0,10.76351722836174,106.69424973032045,1.873781182422335
"639 Nguyễn Thị Sóc, Xã Bà Điểm, H.Hóc Môn, TP.HCM",4099999.999999999,45.55,90010.97694840832,10.890597180600887,106.6059045539112,15.935254926321361
"Nguyễn Thị Thử, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",2750000.0,27.22,101028.65540044085,10.870996492569294,106.6022635237254,14.62042444913934
