address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km,số phòng ngủ,số phòng tắm,diện tích sử dụng
"Bãi Sậy, P.1, Q.6, TP.HCM",13000000.0,92.85,140010.77005923534,10.79349637952792,106.69917114660304,1.5167400600661325,3.0,2.0,201.95m²
"Nguyễn Văn Luông, P.11, Q.6, TP.HCM",12500000.0,89.4,139821.02908277404,10.742995437707396,106.74477678349655,6.449617752895936,4.0,3.0,
"A16 Ấp Mỹ Hòa 2, Xã Xuân Thới Đông, H.Hóc Môn, TP.HCM",3900000.0,37.0,105405.4054054054,10.894987742618413,106.60339926539818,16.484129323234225,,,105.40m²
"84 Phạm Hữu Lầu, P.Phú Mỹ, Q.7, TP.HCM",6100000.0,63.89,95476.60040694944,10.790343567632439,106.68415117072325,2.0028029189825465,,,95.47m²
"132/153 Đoàn Văn Bơ, P.14, Q.4, TP.HCM",7800000.0,92.52,84306.09597924774,10.806196896879813,106.73314102673318,4.738497921136692,,,84.30m²
"224 Hiệp Thành 5, P.Tân Thới Hiệp, Q.12, TP.HCM",6900000.0,62.16,111003.861003861,10.777365536874973,106.71521640882797,1.790611451720395,,,111m²
"B3/5, ấp 2, Xã Vĩnh Lộc A, H.Bình Chánh, TP.HCM",5300000.0,16.8,315476.1904761905,10.690220875620161,106.60537749479846,14.250763479421725,2.0,2.0,
"đường Bà Ký, P.9, Q.6, TP.HCM",9000000.0,107.89,83418.29641301326,10.8191268704117,106.70759356046553,4.451410350570364,2.0,2.0,
"44 Số 32, P.Tân Phong, Q.7, TP.HCM",16900000.0,234.72,72000.68166325835,10.778590038585746,106.71697928530153,1.9677422230429489,7.0,4.0,190.08m²
"115/1/82 Nguyên Hồng, P.1, Q.Gò Vấp, TP.HCM",1980000.0,154.68,12800.620636152054,10.822356631239066,106.68481828483658,4.958771086879417,2.0,2.0,25.60m²
"50/7 Trần Xuân Soạn, P.Tân Kiểng, Q.7, TP.HCM",6900000.0,76.32,90408.80503144655,10.806505110229399,106.7467142035084,5.994406900774768,,,90.40m²
"115/15 Lê Trọng Tấn, P.Sơn Kỳ, Q.Tân Phú, TP.HCM",6900000.0,146.49,47102.191275855,10.79005042002993,106.63064240958596,7.564765500370546,4.0,3.0,133.30m²
"đường Trần Hưng Đạo, P.Cầu Kho, Q.1, TP.HCM",8500000.0,257.57,33000.73766354778,10.790325270016536,106.69277122568317,1.3518662368109933,5.0,5.0,
"Hậu Giang, P.2, Q.6, TP.HCM",7500000.0,100.14,74895.14679448772,10.756432372531702,106.73570094977535,4.770799797568973,5.0,6.0,131.30m²
"263/34  Xóm Chiếu, P.15, Q.4, TP.HCM",13500000.0,156.97,86003.69497356183,10.815662806429174,106.6834415214078,4.319143194589579,4.0,4.0,241.20m²
"73/24/22 Đô Đốc Long, P.Tân Quý, Q.Tân Phú, TP.HCM",6300000.0,75.63,83300.27766759224,10.80353280499692,106.61538952171475,9.516715181925184,,,83.30m²
"đường số 339, P.Phước Long B, TP.Thủ Đức, TP.HCM",20000000.0,97.89,204310.96128307283,10.859953218528288,106.75406420851647,10.717127913222713,5.0,5.0,
"724/12 Tổ 39 Khu phố 3, P.10, Q.10, TP.HCM",9300000.0,173.5,53602.30547550432,10.769995621919238,106.69350766490346,1.2397785210821168,,,53.60m²
"Trường Chinh, P.12, Q.Tân Bình, TP.HCM",8500000.0,2.07,4106280.193236715,10.80332365686061,106.63966566300348,6.9947329560192175,2.0,2.0,71.62m²
"32/36/26G Ông Ích Khiêm, P.11, Q.11, TP.HCM",2150000.0,154.67,13900.562487877418,10.778502826172156,106.68778093405182,1.2382194431419196,2.0,2.0,27.80m²
"383/70 Quang trung, P.10, Q.Gò Vấp, TP.HCM",6900000.0,110.22,62602.068590092545,10.82626720295914,106.67906611051811,5.585795935537588,3.0,2.0,104.50m²
"208/56 Đoàn Văn Bơ, P.9, Q.4, TP.HCM",5300000.0,139.47,38001.00380010038,10.821525761297961,106.69189518114202,4.6825125916463595,4.0,3.0,99.60m²
"Phan Anh, P.Hiệp Tân, Q.Tân Phú, TP.HCM",6400000.0,102.89,62202.352026436,10.797850762407588,106.61378514592225,9.534317982625598,3.0,2.0,124.60m²
"135/14 Đường Bình Thới, P.11, Q.11, TP.HCM",8300000.000000001,126.33,65700.94197736088,10.770228602325727,106.70051771205836,1.0695454788649292,2.0,2.0,81.20m²
"131/26 Kinh Dương Vương, P.12, Q.6, TP.HCM",16500000.0,93.05,177324.01934443848,10.783309227161169,106.72365403201582,2.72134663623126,6.0,5.0,
"Thới An 13, P.Thới An, Q.12, TP.HCM",4200000.0,73.68,57003.25732899022,10.769972112845279,106.71083380148717,1.6868178776344187,2.0,2.0,74.80m²
"Bùi Đình Tuý, P.12, Q.Bình Thạnh, TP.HCM",6850000.0,143.9,47602.50173731758,10.807403358765367,106.72307893737944,4.031268703309553,2.0,2.0,
"63/7 Đường Thạnh Lộc 40, P.Thạnh Lộc, Q.12, TP.HCM",7980000.0,123.91,64401.58179323703,10.787913343330155,106.70915758491816,1.4267744116321652,4.0,4.0,225.50m²
"120/2A Đường Thới An 13, P.Thới An, Q.12, TP.HCM",6000000.0,100.0,60000.0,10.788415077106826,106.71272149109623,1.7759749890517609,5.0,4.0,133.60m²
"Huỳnh Tấn Phát, P.Phú Mỹ, Q.7, TP.HCM",4300000.0,125.36,34301.21250797703,10.823442045638485,106.6832789143473,5.12699733791264,2.0,2.0,32.70m²
"58/1C Đồng Nai, P.15, Q.10, TP.HCM",10950000.0,218.56,50100.6588579795,10.778358091788016,106.69515409522587,0.45212612050004103,5.0,4.0,159m²
"270/33 Lý Thường Kiệt, P.14, Q.10, TP.HCM",22000000.0,259.12,84902.74776165483,10.766323169289834,106.69143870289926,1.704774511067211,5.0,4.0,220.80m²
"C2/61B Tân Liêm, Xã Phong Phú, H.Bình Chánh, TP.HCM",4500000.0,52.14,86306.09896432681,10.674970113111206,106.6040733297626,15.566081820254924,1.0,1.0,
"Huỳnh Tấn Phát, P.Phú Thuận, Q.7, TP.HCM",5700000.0,121.79,46801.872074882995,10.756215211289842,106.7265062125901,3.9785975774357643,3.0,4.0,150m²
"103/2A3 Đường Lý Chiêu Hoàng, P.10, Q.6, TP.HCM",11200000.0,133.01,84204.19517329524,10.75710404282936,106.69235794938177,2.6127229255634705,9.0,9.0,270.90m²
"872/91 Quang Trung, P.8, Q.Gò Vấp, TP.HCM",16800000.0,235.95,71201.52574698029,10.840090951496506,106.68912911925594,6.757907150025062,8.0,10.0,345.90m²
"93/13/8 Nguyễn Du, P.7, Q.Gò Vấp, TP.HCM",2290000.0,238.54,9600.067074704453,10.815280494492976,106.66850948172805,5.153139978836812,1.0,2.0,17.90m²
"An Phú Đông 11, P.An Phú Đông, Q.12, TP.HCM",1650000.0,47.14,35002.121340687314,10.770517290618253,106.71138613906531,1.6963859227689373,1.0,1.0,
